Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41791;3004552;288561;3319631;-3679;32103;70001;6711169;-4460562;-208935;-277593;0;-501992;-5449082;1262087;205419;114427;-519153;-401672;-130976;31147;747588;-446745;-399965;862122;-44364;817758;-100806;0;716952;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41791;814290;0;3814799;900134;1030252;15227;6574703;-3920875;-907280;0;0;-126330;-4954485;1620217;934264;31601;-241060;-467053;-92776;-154556;1272340;-236857;1045901;2666119;-67120;2598999;-438665;-353560;1806774;-301800
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41791;3672180;7393;178118;-246156;366523;0;3978059;-1731931;-646;-6943;0;-400368;-2139887;1838171;16548;19033;-83260;-1136238;-25505;36622;47698;-546831;-1671933;166238;21197;187435;-8870;-31290;147276;-85000
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41791;2435724;22182;868535;-51165;0;304386;3579662;-1651631;-126925;-16430;-22845;-98790;-1916620;1663042;98025;449704;-774165;-568555;-147429;-6589;352562;-800020;-1396468;266574;10551;277125;-10255;-38735;228135;-132790
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41791;996623;51820;830139;183378;0;27279;2089240;-809317;-78221;-41616;-19583;-349538;-1298275;790965;436289;127813;-620924;-562584;-105926;40133;428542;-331268;-587926;203039;-6983;196056;-58995;-29649;107412;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41791;1951207;98802;86386;-111866;25091;0;2049620;-1448655;-35621;-88488;0;-487551;-2060315;-10695;32898;139452;-116181;-697827;-64490;24244;706963;-254506;-229447;-240141;-28407;-268548;119320;0;-149228;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41791;790009;0;1023057;-111960;30929;23736;1755771;-525378;-455839;0;0;-204055;-1185272;570499;924060;14406;-761467;-423286;-119810;0;818218;-518655;-66534;503964;841;504806;-129963;-48830;326012;-74957
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41791;1433050;193278;91552;-234494;0;0;1483385;-534902;-320215;-173985;0;-223162;-1252264;231121;103827;47378;-2997;-160362;-87857;0;422758;-321198;1549;232670;-9438;223232;-88768;0;134464;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;41791;1253076;778;159256;-33626;0;7290;1386775;-610898;-770;-692;-1190;-409229;-1022779;363996;26342;37457;-185248;-264491;-7265;2644;55179;-149924;-485305;-121310;-31167;-152477;63898;-1310;-89889;-852
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;41791;969;0;1105842;-45253;110207;0;1171765;-142311;-12517;0;0;0;-154828;1016936;118766;0;-104604;-38845;-18689;-5967;16056;-823985;-857268;159669;0;159669;-52192;0;107477;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41791;326701;0;864035;-175312;45977;0;1061401;-688096;-168504;0;0;-105794;-962394;99007;442270;0;-307156;-238352;-48094;-11128;328116;-138202;27455;126461;289;126751;-76669;-9;50072;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;41791;963488;0;82015;0;3293;12009;1060805;-367589;-1983;0;0;-147294;-516865;543940;165333;68721;-334987;-188003;-49491;-11;39134;-97876;-397180;146760;608;147368;-35976;-16447;94945;-22225
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41791;1042303;0;180065;-252220;30538;0;1000686;-486215;-28325;0;0;-251929;-766469;234217;13275;27147;-87875;-226703;-59144;1121;384605;-68474;-16048;218169;-5513;212656;-61715;-18313;132629;-60525
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41791;892011;78627;22202;0;0;0;992841;-584692;0;-72964;0;-110278;-767934;224907;88666;53961;-44513;-237337;-73927;0;43265;-53711;-223596;1310;1922;3233;6329;0;9562;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41791;339947;0;624049;-1431;2182;23207;987955;-759997;-39125;0;0;260;-798862;189093;61365;21;-47188;-144068;-14869;5094;37099;-29176;-131723;57370;-12;57358;-21404;0;35955;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;41791;913707;0;46872;0;0;0;960579;0;0;0;0;-163684;-163684;796895;3;0;-8576;-274416;-46221;0;93310;-4527;-240426;556470;-82;556388;-228173;-319;327896;-39312
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41791;786469;72766;256755;-164359;4144;0;955775;-387013;-14207;-58094;0;-144193;-603507;352268;118079;33346;-146385;-366281;-43245;4509;306202;-163809;-257585;94684;-633;94051;-23386;-12183;58482;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;41791;50368;764459;129656;0;0;0;944483;-269378;-1844;-633962;0;-24856;-930040;14444;0;0;0;-16227;-4652;0;62156;-12067;29210;43653;0;43653;-10366;0;33287;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41791;271486;0;572805;0;0;12583;856874;-689576;-21108;0;0;-6978;-717662;139212;125225;36;-35595;-84526;-19850;696;4531;-79185;-88667;50545;21942;72487;-27495;-1906;43086;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41791;390789;23713;411113;0;8991;17419;852024;-494669;-5815;-17606;0;-84746;-602837;249187;83631;35988;-130003;-100609;-26729;8984;21109;-46505;-154133;95054;1216;96269;-19931;-8558;67780;-19478
CCB - PRUDENCIAL;1000080295;b1;;C;2;SAO PAULO;SP;41791;782353;81789;134718;-152605;0;129;846384;-519711;-42408;-59047;-23348;-306535;-951048;-104663;36081;13706;-110608;-100881;-41702;-44;227560;-117045;-92933;-197597;-20103;-217700;86751;-7867;-138815;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;41791;499375;104730;273241;-43579;3944;0;837710;-492576;-34586;-84749;0;-12782;-624693;213017;12699;19941;-82787;-53518;-13815;8430;47698;-82020;-143373;69644;15;69659;-7741;-4149;57769;-19644
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41791;42052;0;813086;-39985;0;0;815153;-257390;-72220;0;-165216;5178;-489647;325505;204416;176;-276653;-95250;-73468;0;581181;-464979;-124576;200929;42510;243439;-93772;-8137;141531;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41791;481739;0;298249;-156185;65079;0;688882;-404092;-53539;0;0;-42027;-499658;189224;76549;6281;-73203;-41169;-21528;-32849;180039;-24321;69798;259022;-2291;256731;-62819;-43438;150474;-47766
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;41791;627493;0;7705;0;0;0;635198;-10408;0;0;0;-226712;-237120;398079;126551;94546;-37155;-184142;-66311;0;24850;-57151;-98811;299267;0;299267;-112715;0;186552;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;I;2;SAO PAULO;SP;41791;454521;0;111447;17057;2671;0;585696;-333534;-23362;0;0;-140962;-497858;87838;12369;5062;-86755;-155119;-14708;-21568;107622;-70233;-223330;-135492;-2378;-137870;-13524;-417;-151811;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;41791;565610;0;7503;0;0;0;573113;-11567;0;0;-11;-250164;-261742;311371;2845;29670;-27572;-76224;-1515;-10;30988;-73218;-115037;196334;1;196334;-78729;0;117604;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;41791;360489;0;167724;22080;0;0;550293;-333580;-40213;0;-19151;-26255;-419199;131094;41220;828;-44727;-46124;-4604;1185;30114;-4326;-26432;104661;11307;115968;-22934;-22566;70468;-33263
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;41791;448613;0;77546;0;0;7194;533354;-165456;-3;0;-322;-75928;-241709;291645;4083;23976;-90727;-92996;-20068;0;3584;-2500;-174649;116996;519;117515;-72464;-4525;40525;-12500
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;41791;165852;0;355279;0;1895;522;523548;-116871;-173511;0;0;-25384;-315766;207782;242276;55040;-212876;-119441;-36520;0;242407;-257504;-86618;121165;2221;123385;-63274;0;60112;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;I;1;PORTO ALEGRE;RS;41791;413379;0;81980;-1194;0;563;494728;-5;-177810;0;0;-19456;-197271;297457;19872;0;-75636;-17034;-12678;0;6623;-8941;-87793;209664;-918;208747;-84374;0;124373;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;41791;401902;43438;3046;0;0;0;448386;-67995;-109216;-41080;0;-63586;-281877;166510;6;8259;-32407;-47752;-16669;0;63126;-19571;-45008;121502;-7581;113921;-41352;0;72569;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;41791;387920;0;19257;0;0;0;407177;-19906;0;0;-11;-10216;-30133;377044;71173;8833;-8750;-92125;-25473;0;3949;-163211;-205604;171440;-121;171319;-67367;-2099;101853;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;41791;386474;0;13986;0;0;0;400460;-47441;0;0;0;-169440;-216881;183579;194067;55604;-44993;-127425;-38607;0;22745;-126465;-65074;118504;0;118504;-43197;-6262;69045;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;41791;348203;0;44567;-1197;0;0;391573;-169583;-2186;0;-118;-39599;-211485;180088;5725;1610;-16528;-91294;-10654;27395;1742;-3570;-85574;94515;-18;94497;-19685;-53;74759;-19204
BONSUCESSO - PRUDENCIAL;1000080422;b1;;C;2;BELO HORIZONTE;MG;41791;349965;0;43242;-4766;2462;0;390903;-124291;-53;0;0;-101152;-225496;165407;9141;2918;-23899;-107271;-9740;4313;91805;-86915;-119647;45760;-134;45626;-12092;0;33535;-12000
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;41791;15806;0;207615;-246580;401417;0;378258;-76619;-9574;0;0;21929;-64264;313994;266654;1213;-209653;-54076;-21995;0;31914;-241941;-227885;86110;-12;86097;-34430;0;51668;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;41791;328496;267;48556;0;0;0;377320;-136228;0;-67;0;-70212;-206508;170811;449579;36836;-9979;-359792;-64597;0;58032;-18653;91427;262239;186;262425;-92290;0;170135;-7490
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;41791;160611;190562;18551;-15117;0;0;354606;0;-43817;-170906;0;2920;-211804;142803;34236;80;-36801;-72749;-10878;0;32654;-18168;-71627;71176;-72;71104;-28171;0;42933;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41791;47160;0;278967;-32934;43100;0;336293;-210998;-19108;0;0;-1673;-231778;104514;116235;370;-118774;-55915;-13293;0;45068;-52529;-78839;25676;-44;25631;-15705;0;9926;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;41791;110144;0;203769;20535;0;0;334448;-117752;-22943;0;-180408;-56723;-377827;-43379;27109;3862;-67710;-36555;-14377;0;349229;-89579;171979;128600;-148;128452;-48303;-8974;71175;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;41791;109;332764;0;0;0;0;332873;0;-33478;-261796;0;-13500;-308774;24099;0;0;0;-8681;-2880;0;5281;-1082;-7362;16738;1141;17879;-6789;0;11091;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;41791;267491;27116;37092;-1105;0;0;330593;-88572;-24861;-22096;0;23584;-111945;218648;4513;5;-21818;-22981;-8197;4;10821;-46631;-84284;134363;191;134554;-54268;-1789;78497;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;41791;104805;0;318364;-107311;0;0;315858;-269229;-12182;0;-5429;815;-286024;29834;48648;2696;-43003;-28477;-8908;-2279;59870;-14421;14128;43962;140;44102;-11576;-7424;25102;-10100
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;41791;315225;538;8370;-10570;0;0;313564;-89748;-3067;-275;0;-57313;-150403;163161;5594;32230;-15023;-123192;-16897;0;16270;-43289;-144307;18854;-2101;16753;-1587;0;15166;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41791;10556;0;298993;0;0;0;309549;-299308;0;0;0;102;-299205;10344;0;0;-19613;85930;0;1744;2810;-81346;-10475;-132;132;0;0;0;0;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;41791;262647;807;38337;1421;0;0;303212;-180262;-15541;-582;0;-34848;-231233;71980;615;770;-9965;-17737;-5191;0;7364;-8478;-32621;39358;21753;61111;-24499;-735;35877;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41791;327149;137458;145237;-354322;21335;0;276856;-30914;-22577;-116454;0;-67473;-237418;39438;9431;8463;-62510;-157382;-13989;-1653;266354;-57645;-8931;30506;964;31470;-12838;0;18632;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;41791;94323;0;133763;0;0;34968;263054;-157630;0;0;0;-225;-157855;105200;0;1648;-32777;-17224;-6325;0;1161;-10268;-63786;41414;1791;43205;0;0;43205;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;41791;155801;0;89450;12239;0;0;257490;-187226;-21242;0;-7490;-3315;-219274;38216;24629;2974;-51967;-43927;-6832;4498;48397;-19200;-41429;-3213;-3054;-6268;1733;-4287;-8821;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;41791;160226;32025;58781;1707;3804;0;256542;-129689;-5000;-30732;0;-12937;-178357;78184;334;5564;-23314;-22501;-5785;-10380;19741;-8411;-44753;33432;-1456;31976;-12658;-7292;12025;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;I;1;ARACAJU;SE;41791;178509;0;68117;0;0;8755;255382;-107360;-2469;0;0;-31904;-141734;113648;49037;7048;-76371;-57238;-14013;520;66895;-29993;-54116;59532;-676;58857;-22630;-3345;32882;-5802
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;41791;229374;0;31640;-19560;0;0;241454;-39145;-55569;0;-4207;-45301;-144222;97232;19379;2844;-40656;-24060;-9122;0;59639;-23561;-15536;81696;-1996;79700;-32067;-2268;45365;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;41791;1037;0;226004;13697;0;0;240738;-168535;-199;0;-6089;255;-174569;66170;78809;0;-54070;-25565;-1865;67;14928;-18021;-5717;60453;-96;60356;-27835;-53;32468;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41791;179515;0;53736;0;0;0;233251;-59310;-27924;0;0;-91570;-178804;54447;2676;1558;-29977;-22762;-447;0;4680;-2709;-46982;7465;215;7680;-615;-2563;4502;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;41791;111813;0;50190;70267;0;0;232270;-42825;-338;0;-3321;-22454;-68938;163333;6131;12;-46613;-32589;-8223;-178;30638;-25603;-76426;86907;-855;86051;-20309;-41582;24160;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;41791;7837;0;225693;-18779;2253;0;217003;-105784;0;0;0;-39;-105824;111180;128041;0;-140836;-44949;-11926;0;33154;-14698;-51214;59966;1020;60986;-25865;0;35122;0
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;41791;144184;42971;37834;-10942;0;0;214047;-61662;-1236;-41204;0;-14753;-118855;95192;2890;11651;-18695;-23643;-7065;0;6410;-7300;-35753;59440;-215;59224;-18620;-1260;39344;-14874
DACASA FINANCEIRA - PRUDENCIAL;1000081005;n1;;C;2;VITORIA;ES;41791;158188;0;44238;504;0;0;202929;-71412;0;0;0;-87152;-158564;44365;17001;12035;-7113;-73633;-8573;0;44783;-20021;-35521;8844;376;9220;-3225;0;5995;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;I;2;UBERLANDIA;MG;41791;175893;0;20479;-3440;0;0;192931;-51490;-1058;0;0;-44295;-96843;96088;30764;41914;-49415;-72952;-11792;931;10546;-8831;-58834;37254;160;37414;-7757;-6901;22755;-7800
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;41791;149473;33442;2370;0;0;0;185285;-15932;-26563;-29269;0;-22414;-94178;91107;17223;4832;-16492;-30396;-8091;1017;2854;-5381;-34434;56673;81;56754;-22578;-247;33929;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;I;3;SAO PAULO;SP;41791;176871;5838;36;-4862;0;0;177884;-33943;-28747;-5573;0;-75264;-143527;34357;1274;2104;-15241;-10880;-4496;0;16147;-956;-12047;22310;-2289;20020;-9046;0;10974;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;41791;153911;0;24309;-1174;0;0;177046;-65488;-450;0;0;-27662;-93600;83446;2376;2690;-17131;-55882;-926;60;1677;-2290;-69427;14020;-528;13492;-2746;0;10746;-6638
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41791;149640;0;26886;0;0;0;176526;-53966;-2484;0;0;-14392;-70842;105685;7406;5611;-27075;-44215;-146;0;220;-1337;-59536;46149;-20;46129;0;-2227;43902;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;41791;34434;0;11420;-518;126106;0;171442;-20013;-1186;0;0;-9706;-30905;140537;35130;992;-58967;-79622;-10973;0;14992;-8365;-106812;33725;-1818;31907;-7158;-1286;23463;-9300
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;41791;266828;46737;40759;-189674;0;0;164651;-67632;-62220;-38287;0;-31093;-199232;-34581;0;18792;-18871;-60451;-12405;0;154408;-7758;73716;39135;-4571;34563;-14008;-268;20287;0
BCO COMMERCIAL INV. TRUST S.A. - PRUDENCIAL;1000081476;b2;;I;3;BARUERI;SP;41791;3775;151534;6725;538;0;0;162571;-18042;-253;-114572;0;-2279;-135146;27425;18;0;-9928;-5637;-1737;0;3493;-384;-14175;13250;2171;15421;-5856;-405;9159;0
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;41791;81915;34407;28164;1669;0;0;146155;-31899;-7688;-23724;0;-17828;-81140;65015;194875;1256;-37603;-83646;-22007;-1391;17714;-25091;44107;109122;-66;109055;-24943;-7791;76321;-20950
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;41791;105842;4913;29653;-7815;11079;0;143671;-73162;-9220;-4909;0;-8117;-95407;48264;3074;1879;-23096;-10679;-6048;0;21997;-1333;-14204;34060;389;34449;-10725;0;23723;-9000
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;41791;1;0;142800;0;0;0;142800;-136434;0;0;0;0;-136434;6366;0;0;-1453;-1217;-8;4048;825;-93;2101;8467;0;8467;0;0;8467;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;41791;110541;0;30252;0;0;0;140794;0;-53558;0;0;-38246;-91803;48990;4012;658;-17255;-6879;-4362;0;9714;-21082;-35194;13796;35073;48869;-4416;0;44453;-3736
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;41791;4388;0;135245;0;0;0;139633;-135245;-7;0;0;-15;-135267;4366;0;0;-14873;56541;0;892;929;-47945;-4456;-90;90;0;0;0;0;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;41791;77136;0;54472;-4479;6469;0;133598;-96336;-9609;0;0;4096;-101849;31750;10548;17;-16390;-16814;-3248;8571;49759;-25220;7224;38974;-60;38914;-12966;-8652;17296;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;41791;127752;0;2455;-648;0;0;129558;-15089;-32964;0;0;-12923;-60976;68582;15595;0;-12288;-8226;-6380;0;41760;-218;30243;98825;614;99439;-38984;-1243;59213;0
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;41791;24944;0;38775;13790;50246;0;127756;-47062;-2788;0;0;-3169;-53019;74737;34657;8194;-29609;-44779;-8583;350;4249;-8751;-44272;30465;46;30511;-11628;-1021;17863;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41791;827;0;118092;19;0;5406;124345;-110511;-6691;0;0;-159;-117361;6984;87;0;-10727;-4331;-8;6752;17476;-2904;6344;13328;-21;13307;-14;0;13293;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41791;105733;0;18604;0;0;0;124336;-53134;-449;0;0;-7581;-61164;63172;0;0;-14027;-11864;-76;0;245;-1409;-27130;36042;-165;35877;0;0;35877;-7549
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;41791;38812;0;172709;-88399;0;0;123122;-85587;-17358;0;-19301;-3673;-125920;-2798;1781;463;-48158;-31435;-852;0;142683;-22723;41759;38961;-15;38946;-17236;0;21710;0
