Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42339;3878814;443959;5618714;-799827;491467;77817;9710944;-7510093;-764419;-341334;0;-849263;-9465110;245834;294204;160282;-815886;-565381;-105096;767950;946991;-538446;144618;390452;-2370;388082;378533;0;766615;-544830
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42339;1815123;0;2902108;601090;457813;75380;5851514;-4899359;-4703505;0;0;-786258;-10389122;-4537608;1743650;101919;-949474;-1516241;-456014;1794382;26495159;-21876228;5337153;799544;2051489;2851034;1537815;-996828;3392021;-492754
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42339;1950255;66873;2230222;842809;652551;52858;5795569;-1478932;-1826624;-50949;0;-415426;-3771931;2023638;459715;149832;-661586;-830199;-144538;34504;381895;-584458;-1194836;828802;-4676;824125;-175964;-117425;530737;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42339;3423409;28802;1278211;289627;279024;490029;5789102;-2559656;-579682;-16389;0;-297819;-3453546;2335556;120316;639458;-907444;-708380;-209777;70532;525603;-1304314;-1774005;561552;-5683;555869;12788;-59816;508841;-195045
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42339;2974727;35706;190454;473357;130066;0;3804310;-3196999;-52273;-35553;0;-499608;-3784433;19876;77556;176571;-170504;-1027182;-92050;2866;1269801;-299106;-62048;-42172;-47213;-89385;167355;0;77970;-3152
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42339;2446244;0;387274;-53946;980353;0;3759924;-205833;-3151239;0;0;-316517;-3673589;86335;33391;9477;-72085;-52955;-25458;0;30116;-23054;-100569;-14234;-23;-14256;69055;-13431;41368;-89588
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42339;1431353;0;1609014;435019;254149;-8811;3720724;-1207235;-1314021;0;0;-460822;-2982078;738646;969134;28484;-834589;-531135;-136590;0;821248;-915042;-598491;140155;65;140220;26983;-19609;147595;-20205
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42339;791815;0;1362784;1131110;191094;0;3476803;-1298410;-1545137;0;0;-525088;-3368635;108168;438965;0;-645156;-230885;-61461;281137;760938;-480288;63249;171416;5761;177177;94343;-5236;266284;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42339;69341;0;2692391;-472069;921696;0;3211359;-438395;-2048316;-2565;0;-823;-2490099;721260;220468;348;-443959;-126878;-74288;0;139328;-134883;-419864;301396;191;301586;-65315;-11867;224405;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42339;1570459;141431;390199;826166;206471;0;3134726;-1590270;-551929;-101792;0;-331802;-2575794;558932;13763;37089;-137836;-247464;-75549;20897;210355;-74986;-253731;305201;162;305363;-36349;-17877;251137;-83044
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42339;890696;72188;510436;591826;763299;0;2828445;-608326;-1165224;-69451;0;-198664;-2041664;786781;174484;70704;-197048;-428746;-74005;2757;313914;-390112;-528052;258729;-1626;257104;-15185;-11318;230601;-89656
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42339;1292206;760;283574;709870;107945;0;2394354;-1754703;-25709;-613;0;-251855;-2032879;361475;18827;52564;-77252;-332826;-26286;62314;200248;-323437;-425848;-64373;1354;-63019;250407;-68015;119373;-61000
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42339;1476021;79226;101546;677465;0;0;2334258;-458838;-1179470;-50991;0;-277020;-1966319;367940;118560;41332;-2210;-213327;-94586;0;459203;-450996;-142024;225916;-20108;205807;62895;0;268702;-163833
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42339;790208;0;612160;846715;0;0;2249082;-952334;-1200790;0;-70675;-139008;-2362806;-113724;93345;9964;-92113;-50226;-16430;215393;97246;-43566;213611;99887;-2629;97258;155903;-52605;200556;-73971
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42339;611428;70840;258654;768328;314101;95;2023446;-1063071;-749546;-73372;0;-496815;-2382804;-359358;28762;4535;-115845;-91343;-34124;12;62689;-113095;-258408;-617766;-4537;-622304;398744;0;-223559;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42339;10766;222298;384545;1158777;116625;0;1893011;-25113;-1604494;-156673;0;14135;-1772144;120866;17004;7152;-68776;-96178;-11752;-28198;143533;-56219;-93434;27432;-258;27175;-84696;0;-57521;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42339;1525094;283;195022;98923;22553;6868;1848743;-700204;-25466;-282;0;-436718;-1162670;686073;27071;72404;-182966;-288590;-55191;11922;97407;-360469;-678411;7662;-54078;-46416;84771;-16569;21786;-15699
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42339;576052;0;1199986;3876;20851;23056;1823821;-1349595;-196494;0;0;-1385;-1547474;276347;92735;42;-59247;-206633;-18997;4568;41319;-48685;-194899;81449;6;81455;-29676;0;51779;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42339;1616398;0;102833;0;0;0;1719232;0;0;0;0;-403939;-403939;1315293;69;0;-10395;-415868;-88233;0;208933;-14128;-319622;995671;-726;994945;-407575;-173;587198;-95730
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42339;47987;0;502537;-205363;1199717;0;1544879;-126555;-79733;0;0;-15332;-221619;1323260;310574;1842;-311036;-82240;-24421;0;9503;-1114177;-1209956;113303;-941;112362;2866;0;115228;-84390
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42339;83666;0;154525;326329;942355;0;1506874;-58350;-1336412;0;0;204;-1394558;112316;7006;0;-23076;-8416;-7643;0;8256;-3745;-27619;84697;3;84699;-21918;-781;62000;-52203
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42339;88712;0;574867;448635;336859;0;1449073;-131855;-1091879;0;0;4236;-1219499;229575;2315;640;-63384;-44424;-17400;0;84944;-43147;-80456;149118;-384;148734;-64618;0;84116;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42339;441214;0;988837;0;0;8651;1438701;-1232193;-30767;0;0;-3186;-1266146;172555;203660;43;-43822;-107336;-32227;2721;35798;-130701;-71864;100692;8929;109620;-40341;-5241;64038;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42339;91;0;1246408;96569;90051;0;1433119;-224210;-17463;0;0;500;-241173;1191945;106673;0;-162419;-53694;-32710;52475;201117;-969774;-858333;333612;0;333612;-62536;0;271076;-127098
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42339;1239924;0;148294;79;5961;14322;1408579;-567284;-4386;0;0;-278110;-849780;558799;38511;78881;-368115;-202145;-50468;18048;50088;-139322;-574522;-15723;1796;-13927;86577;-10642;62009;-20000
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42339;118238;956748;215222;0;0;0;1290208;-394087;-29107;-778140;0;-34717;-1236051;54157;0;0;0;-19461;-5458;0;25955;-15926;-14889;39268;0;39268;-16127;0;23141;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42339;404960;16412;779319;0;10816;19500;1231008;-826779;-11791;-13292;0;-135913;-987775;243232;89372;44230;-157674;-120972;-30038;10781;17290;-45959;-192970;50263;1349;51612;27003;-10127;68488;-28000
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42339;623108;110140;342037;112799;37100;0;1225185;-643509;-94503;-88611;0;-54928;-881551;343633;19017;13830;-82261;-54050;-19241;11149;59420;-198345;-250481;93152;-995;92157;-22002;-4118;66037;-20287
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42339;1105079;64164;22104;0;0;0;1191347;-705713;0;-63750;0;-146457;-915919;275428;79988;53615;-7106;-255780;-64473;12170;48708;-47426;-180304;95124;369;95493;42691;-1097;137088;-93000
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42339;376335;27966;38813;737511;0;0;1180625;-92779;-889933;-19598;0;-20294;-1022604;158021;0;25972;-22986;-66631;-17041;0;12803;-12518;-80401;77620;-5468;72152;-23985;-7701;40465;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42339;325541;0;193867;525429;0;0;1044836;-127214;-266050;0;-508055;-17986;-919305;125532;150455;288;-142710;-66220;-24399;0;127175;-111629;-67038;58493;-20346;38147;80583;0;118730;-100000
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42339;997712;0;15883;0;0;0;1013595;-9156;0;0;0;-519878;-529034;484561;178686;116073;-54674;-235446;-79183;0;40795;-106908;-140657;343904;-151;343753;-135409;0;208344;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42339;43362;0;134938;51736;655556;0;885592;-90463;-1509951;0;0;-17570;-1617984;-732392;17119;63;-36541;-28175;-8824;3334;1173781;-356266;764491;32099;-10;32089;-17783;-942;13365;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42339;323549;0;182580;357382;4062;0;867572;-509590;-373907;0;0;-81829;-965327;-97754;36803;235;-44646;-39827;-7290;5070;76980;-28593;-1267;-99021;2136;-96885;136305;-18567;20853;-43825
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42339;313644;0;451026;3465;9945;0;778080;-161572;-245860;0;0;-77125;-484557;293524;257707;54816;-284465;-140796;-48543;0;350846;-288037;-98471;195052;1287;196340;-30349;-23720;142271;-94961
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42339;707284;0;13607;0;30;0;720921;-30717;0;0;0;-437332;-468049;252872;20490;36093;-21254;-93419;-56216;0;43234;-70406;-141479;111393;-29541;81852;-27173;0;54679;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42339;680275;0;29054;0;56;0;709385;-39942;0;0;0;-194954;-234896;474490;99625;29373;-9002;-131530;-42698;0;7482;-326758;-373508;100982;34;101015;-25542;-208;75266;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42339;594926;0;89387;0;3929;2400;690642;-222191;-133;0;0;-39088;-261413;429230;5891;32107;-132422;-127836;-25267;0;12278;-15213;-250461;178769;-13;178756;-4195;-16617;157944;-27902
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42339;417086;0;186387;52943;26927;0;683344;-501614;-75750;0;0;-30140;-607504;75840;13775;1443;-64591;-51356;-6411;258;36223;-62182;-132841;-57001;-2172;-59173;190316;0;131143;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42339;490702;0;152761;4675;0;0;648138;0;-302001;0;0;-68826;-370827;277311;24758;0;-93175;-28671;-19368;0;40714;-11321;-87063;190248;748;190996;-26785;0;164211;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42339;287886;0;133201;38512;179336;0;638935;-103950;-431638;0;0;27;-535561;103375;14494;3;-22826;-12739;-5744;0;13970;-13509;-26349;77025;19;77045;-9121;-763;67161;-44783
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42339;19061;0;609209;0;0;0;628271;-609106;0;0;0;-47;-609153;19117;0;0;-12064;113866;0;4717;4099;-129417;-18800;318;-318;0;0;0;0;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42339;484303;0;87454;2033;10150;0;583940;-316653;-12695;0;0;-71859;-401207;182733;4103;3442;-28376;-105631;-12077;29095;790;-10099;-118752;63981;12302;76282;9098;-6808;78572;-54137
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42339;497042;0;91232;-54583;28638;0;562330;-237229;-144885;0;0;-39443;-421557;140773;16448;41;-67316;-54697;-12780;1371;25387;-18617;-110164;30609;137;30746;47879;-23719;54906;-43000
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42339;388450;172;77895;72070;0;0;538587;-143812;-87419;-133;0;-81011;-312375;226212;486381;37166;-12093;-456028;-72643;0;66005;-30547;18241;244453;197;244650;-66231;0;178419;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;42339;155576;0;18497;2380;356787;0;533241;-54688;-406028;0;0;-55159;-515875;17366;3;0;-1890;-9127;-9413;0;8;-19645;-40063;-22697;0;-22697;38216;0;15518;-68000
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;42339;0;0;305148;140866;85054;0;531067;-115733;-230682;0;0;0;-346415;184652;279636;0;-173116;-69932;-28749;0;36173;-34397;9614;194267;-2004;192262;-45854;-2255;144154;-70000
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42339;352064;0;61000;91520;19593;0;524178;-61666;-303689;0;0;-200498;-565853;-41675;14840;5503;-58445;-21153;-18132;0;48280;-33409;-62515;-104190;-64;-104254;76185;-799;-28868;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42339;492927;6825;4703;0;0;0;504455;-81495;-139945;-4986;0;-129813;-356239;148216;23;6474;-48154;-50062;-19739;0;56934;-39957;-94482;53734;-25766;27968;21564;0;49532;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42339;417115;0;27823;37725;0;0;482663;-58241;-67260;0;0;-231108;-356609;126054;231116;61179;-58593;-152539;-45677;0;58084;-140857;-47289;78765;0;78765;3000;-5305;76460;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42339;321016;519;56349;73564;0;0;451448;-219804;-12487;-440;0;-19785;-252516;198932;4615;90;-11286;-18142;-5173;0;6833;-122964;-146027;52905;-12828;40078;11314;-799;50593;-33355
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42339;331275;14768;80139;-2484;0;0;423698;-120664;-44458;-11701;0;-123779;-300601;123097;4415;11;-21582;-36432;-11390;0;14454;-21311;-71835;51262;-714;50548;24963;-2540;72971;-9071
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42339;412417;0;6195;4603;0;0;423215;-11618;-253930;0;0;-94432;-359980;63235;22145;257;-16951;-13894;-7697;0;22;-465;-16584;46651;26898;73549;-14033;-2790;56726;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42339;404072;4008;9706;1239;0;0;419025;-179544;0;-2667;0;-46850;-229061;189965;7328;38779;-21343;-146312;-18320;-928;154888;-232965;-218874;-28909;-1406;-30316;47962;0;17646;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;42339;16918;0;113353;110729;171066;0;412066;-31443;-262458;0;0;-803;-294703;117363;17778;0;-25717;-10849;-24295;0;1889;-10027;-51221;66142;-3;66138;338;-1621;64855;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42339;222277;1660;94567;31686;40477;0;390666;-182830;-109038;-1518;0;-14887;-308273;82392;335;9255;-29638;-27936;-5819;16865;16074;-13079;-33942;48450;-243;48207;6631;-5348;49490;-16000
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;42339;22100;0;76709;121595;157606;0;378011;-54921;-299739;0;0;-19704;-374364;3648;28676;137;-24734;-17298;-4632;28544;29933;-6840;33787;37434;-4;37431;5181;-575;42036;-9143
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42339;134072;0;196755;0;0;45511;376338;-209334;0;0;0;-6301;-215635;160703;0;2713;-48350;-28083;-9520;0;13604;-29518;-99153;61550;1520;63069;0;0;63069;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;42339;132015;0;99413;69436;64240;0;365105;-128081;-119025;0;0;-5232;-252338;112766;9377;34;-23604;-18264;-4223;19172;24121;-80607;-73994;38773;-915;37858;5525;-16176;27208;-18905
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;42339;185;350507;0;1357;0;0;352048;0;-44210;-264009;0;-44816;-353035;-987;0;0;0;-12670;-3193;0;3795;-1710;-13779;-14765;1480;-13285;19359;0;6074;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;;I;3;SAO PAULO;SP;42339;73894;0;33680;409;243238;0;351222;-16542;-309659;0;0;-585;-326786;24435;505;22;-7048;-6521;-1200;0;830;0;-13412;11024;-27;10997;-4288;-1473;5236;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;I;2;BELO HORIZONTE;MG;42339;171642;0;90763;57227;16372;0;336003;-106798;-34;0;0;-17100;-123931;212072;2640;8165;-19551;-116752;-10582;6554;74558;-135970;-190938;21134;-1200;19934;1412;0;21346;-18600
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42339;235738;0;89274;0;0;2674;327685;-142516;-7986;0;0;-67452;-217954;109731;61521;12187;-95835;-72534;-22519;-23278;75604;-36748;-101604;8127;-675;7452;4823;-4444;7830;-9329
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;42339;7715;0;313967;0;0;0;321681;-313967;-4;0;0;5;-313966;7716;0;0;-11537;76908;0;2255;885;-76209;-7698;17;-17;0;0;0;0;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42339;158893;108204;36412;0;0;0;303509;0;-38164;-97094;0;-54447;-189705;113805;14338;94;-30912;-34789;-8900;0;3695;-28401;-84875;28929;-235;28694;34802;0;63496;-49821
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42339;190066;0;111985;0;0;0;302051;-96439;-32069;0;0;-20329;-148836;153215;3192;2148;-36546;-30919;-451;0;6388;-6976;-63164;90052;-82;89969;-564;-3157;86249;-45104
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42339;227582;0;65151;0;0;0;292733;-113762;-3856;0;0;-30064;-147681;145052;15236;9181;-42012;-56281;-225;0;5073;-4374;-73402;71650;-160;71490;0;-3676;67814;-55289
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;42339;252563;0;22551;4454;0;0;279567;-131895;-1571;0;0;-29154;-162619;116948;3998;3462;-30198;-63703;-7309;1147;643;-6876;-98836;18112;-2769;15343;688;0;16031;-8860
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42339;102279;0;184518;-69405;59397;0;276789;-216886;-23928;0;0;-59368;-300182;-23393;24080;6718;-39531;-45115;-3827;2236;37004;-12002;-30437;-53830;-4667;-58497;34335;-5015;-29177;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42339;226108;0;40379;4720;0;0;271207;-89931;-8961;0;0;-68326;-167218;103989;50853;41958;-62811;-91281;-16852;2235;16423;-7028;-66502;37486;21;37507;3549;-8824;32232;-12662
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;42339;47934;0;30320;2500;176444;0;257197;-57134;-3723;0;0;-5170;-66027;191170;40620;876;-62222;-74398;-10266;0;8661;-63746;-160476;30694;-94;30600;-8543;-909;21147;-6980
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;42339;221;0;251006;0;0;0;251227;-238856;0;0;0;0;-238856;12370;0;0;-2028;173;-11;6881;6;-76;4945;17316;18;17334;-4;0;17330;-13816
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;42339;132795;0;44571;26439;40935;0;244740;-103301;-90085;0;0;-10389;-203775;40964;6018;2137;-27250;-12623;-6401;1102;22588;-78;-14507;26457;-400;26057;449;0;26507;-16900
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;42339;1456;0;233280;3;0;5667;240406;-215790;-12137;0;0;1120;-226808;13598;117;0;-11639;-5747;-11;9468;19558;-4654;7092;20690;-21;20668;-17;-325;20326;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42339;66009;0;81741;79865;10324;0;237939;-314444;-9741;0;0;-10845;-335029;-97090;14014;326;-36816;-26158;-3592;76109;19793;-2757;40920;-56170;-3;-56174;64385;-309;7903;-11050
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;;I;2;FLORIANOPOLIS;SC;42339;2161;0;224747;0;0;3039;229946;-225874;-3314;0;0;-422;-229610;337;29;0;-5921;-6340;-36;0;12358;-426;-337;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;42339;186286;0;39481;19;0;0;225786;-30145;-92481;0;0;-34694;-157319;68467;18668;5286;-25142;-15039;-507;0;11462;-19493;-24765;43703;-4145;39558;0;0;39558;-14214
