Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41883;1639375;136363;1694684;-359799;223923;25323;3359870;-2430507;-211147;-115529;0;-239524;-2996708;363163;117722;63727;-261595;-213145;-52532;329414;265300;-152296;96595;459757;-35486;424271;22897;0;447168;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41883;1411984;12316;471892;135883;97574;166963;2296611;-926718;-212072;-9122;0;-104134;-1252046;1044566;53669;250336;-360994;-313316;-79852;19619;95878;-391059;-725719;318846;-764;318083;-75703;-26946;215435;-67739
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41883;706297;0;1518559;-263377;0;5505;1966984;-1911748;-1200984;0;-16834;-186721;-3316287;-1349303;563458;11413;-128162;-272867;-46444;1019931;712345;-42322;1817353;468049;-1458;466591;448990;-111841;803740;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41883;1414071;2090;92699;257889;19883;0;1786633;-740088;-9259;-1845;0;-250923;-1002115;784518;7935;19680;-48113;-527439;-11024;42421;35128;-191142;-672554;111964;-2071;109893;-12737;0;97157;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41883;639136;27144;486632;-1067;143073;14746;1309664;-466751;-376130;-21162;0;-223874;-1087918;221746;239061;65050;-353795;-298026;-69796;20468;259269;-341180;-478948;-257202;-1031;-258234;112641;-12454;-158047;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41883;29266;0;751634;183083;291613;0;1255596;-145620;-925328;0;0;22140;-1048808;206788;95967;118;-166947;-64314;-52560;0;248399;-21837;38826;245614;-2;245612;-230907;-4190;10515;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41883;441937;0;607709;122908;67392;6572;1246518;-438428;-441106;0;0;-129040;-1008574;237944;444767;11809;-348903;-235023;-52910;0;355983;-215335;-39611;198333;3668;202001;-85203;-13759;103039;-34165
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41883;946894;46925;69543;115067;56035;0;1234464;-865964;-20032;-43666;0;-229582;-1159245;75219;20223;76727;-58104;-335527;-68156;8422;305484;-144341;-195274;-120055;-14204;-134258;64456;0;-69803;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;41883;706016;0;145293;19482;215591;0;1086382;-86017;-817328;0;0;-59832;-963177;123205;10980;3743;-33053;-19770;-7378;0;19470;-26495;-52503;70702;-24;70678;-25695;-5070;39913;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41883;595389;0;106059;233258;78661;0;1013367;-576399;-133185;0;0;-106424;-816009;197358;7954;15710;-50679;-124000;-31018;5051;92661;-29056;-113376;83983;-4331;79652;-18409;-9434;51809;-30384
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41883;714959;96136;35565;150406;0;0;997065;-242381;-399416;-83008;0;-102752;-827557;169508;55897;24140;-886;-91309;-31030;0;153714;-172836;-62310;107198;-5573;101625;-40433;0;61192;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41883;125086;0;478367;252992;56953;0;913398;-429269;-477611;0;0;-70447;-977326;-63928;202367;0;-228905;-110086;-26524;76679;134390;-95627;-47704;-111632;2464;-109168;59970;0;-49198;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41883;324523;35767;153763;254721;86735;0;855510;-211916;-287797;-29970;0;-35073;-564756;290754;52715;23611;-76669;-186444;-22956;2219;94834;-100747;-213438;77316;3265;80581;-29686;-4924;45971;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;41883;224;0;717032;91460;11754;0;820470;-75111;-40320;0;0;0;-115431;705039;46612;0;-62435;-19036;-7717;11460;15226;-597973;-613862;91177;0;91177;-37787;0;53390;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;41883;390782;36538;59564;161545;147366;65;795861;-425015;-192379;-31942;0;-621170;-1270507;-474646;17449;6152;-56302;-56017;-19727;-6;18390;-37450;-127510;-602156;-49086;-651242;282650;0;-368592;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;41883;622741;197;89495;43049;9080;3855;768418;-311779;-11809;-177;0;-193026;-516791;251627;14028;21175;-83199;-141781;-3896;3159;19673;-129613;-300453;-48827;-3680;-52506;21668;-34;-30872;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41883;169716;90052;82744;364734;0;0;707246;-8939;-495655;-67475;-4480;-24637;-601187;106059;5743;3475;-26870;-77227;-7225;-1305;32118;-24788;-96079;9980;-320;9660;2815;0;12475;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41883;326040;0;170704;162950;20267;0;679961;-347686;-264526;0;0;-12906;-625117;54844;41659;2999;-37442;-22995;-7728;60009;38098;-42067;32532;87376;489;87865;13176;-23096;77946;-24683
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;41883;508485;0;72338;213;3396;6214;590646;-214244;-1372;0;0;-108142;-323758;266889;240255;37176;-196998;-131820;-33742;-1985;37914;-119856;-169056;97833;-3684;94149;-14439;-7376;72335;-22392
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41883;206978;0;349695;394;8105;13351;578523;-400159;-62322;0;0;-478;-462959;115563;35974;9;-24646;-73798;-7868;1253;4988;-4715;-68804;46759;-36;46724;-18203;0;28521;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41883;489710;47404;19236;0;0;0;556350;-339856;0;-45539;0;-44213;-429608;126741;36866;29319;-163;-180721;-37162;7017;67548;-20702;-97998;28744;43821;72565;-9730;0;62835;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;41883;525720;0;29583;0;0;0;555303;0;0;0;0;-86768;-86768;468535;0;0;-4344;-152728;-27011;0;44920;-2576;-141740;326795;80;326876;-128797;0;198078;-18900
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;41883;10141;0;53728;82661;381231;0;527761;-19168;-485271;0;0;-453;-504892;22868;1544;0;-6338;-4720;-1464;0;3358;-1278;-8899;13970;0;13970;-5580;-241;8148;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;41883;40672;396825;83427;0;0;0;520924;-165824;-11562;-324252;0;-76;-501713;19211;0;0;0;-7973;-1776;0;18401;-7627;1025;20236;0;20236;-7676;0;12560;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41883;147671;0;349757;0;0;7333;504761;-426454;-11429;0;0;-2190;-440073;64688;68321;22;-19193;-42456;-9722;277;2022;-41299;-42028;22661;1286;23947;-8748;-971;14228;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;41883;474856;1497;16627;-3944;0;0;489036;-139762;-12444;-1008;0;-89945;-243160;245876;47554;15140;-27188;-194139;-27691;2932;66709;-104245;-220928;24948;-1845;23103;-1252;0;21852;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;41883;263997;60355;124126;29307;2120;0;479905;-276367;-30836;-49179;0;-7288;-363671;116234;6744;12185;-41668;-26093;-7787;4307;19607;-49055;-81759;34475;-133;34343;-9420;-1989;22934;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41883;210254;11702;240880;0;4354;9823;477013;-284997;-3770;-9030;0;-45763;-343559;133454;46339;19400;-73011;-56784;-13968;4866;9356;-17298;-81101;52353;998;53351;-12955;-6410;33986;-9000
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41883;93232;0;159033;146059;0;0;398323;-116541;-76521;0;-148501;10260;-331303;67020;52942;141;-59673;-28604;-5131;0;40499;-21747;-21574;45445;-124;45321;-7827;0;37495;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;41883;176022;0;78677;77938;45040;0;377677;-221641;-133321;0;0;22089;-332873;44804;19094;765;-23796;-20934;-1990;3898;13416;-17602;-27148;17656;4362;22018;8081;-11482;18616;-16938
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;41883;149207;19120;16901;187012;0;0;372240;-37432;-234039;-14447;0;-8204;-294121;78119;0;11578;-9190;-33699;-6990;0;2060;-4352;-40592;37527;-2033;35494;-13352;-1438;20704;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;41883;342591;0;5696;0;0;0;348287;-5290;0;0;0;-120095;-125385;222901;64834;48559;-17838;-115659;-39726;0;22863;-24524;-61491;161410;0;161410;-56837;0;104573;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;41883;244391;0;57157;-14139;29297;0;316707;-218464;-35872;0;0;-47131;-301467;15240;8385;1495;-49832;-49292;-4694;5686;22832;-31012;-96432;-81192;-407;-81598;1362;-625;-80861;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;41883;303940;0;4456;0;1;0;308396;-7240;0;0;0;-151328;-158568;149828;1063;14251;-14310;-38260;-712;-45;14417;-36880;-60475;89353;-2846;86507;-35816;0;50691;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;41883;30079;0;99003;134499;41635;0;305216;-49320;-208049;0;0;-44;-257412;47804;1018;226;-25338;-16187;-465;0;21196;-3003;-22553;25251;-5;25246;-11343;0;13903;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;41883;251193;0;44222;0;212;3250;298877;-96108;1;0;0;-50052;-146160;152717;1991;13656;-52396;-53744;-10730;0;2962;-1438;-99698;53019;-907;52112;-39335;-4128;8649;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;41883;97920;0;184262;0;4213;159;286554;-68134;-104315;0;0;-16698;-189146;97407;103079;24285;-109898;-60724;-18091;0;130855;-127926;-58420;38987;769;39756;-51820;0;-12064;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;41883;226641;0;44780;1210;0;0;272631;-82;-98555;0;0;-30182;-128819;143812;12160;0;-39084;-8881;-7043;0;4558;-4875;-43166;100646;-3612;97033;-40185;0;56848;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;41883;211278;28718;1609;0;0;0;241604;-37394;-58334;-28621;0;3290;-121058;120546;24;6555;-16730;-20523;-8332;0;21916;-17026;-34117;86430;-2714;83715;-35481;0;48234;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;41883;190845;0;39860;2305;3028;50;236088;-120370;-3418;0;0;-18522;-142311;93777;2318;1163;-8238;-46927;-5476;10143;602;-3213;-49629;44148;-2;44146;-15650;0;28496;-8777
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;41883;66234;0;62498;37419;56066;0;222216;-36707;-154885;0;0;623;-190969;31247;7040;1;-7283;-4500;-1894;4158;2831;-5966;-5612;25634;43;25677;-11987;0;13690;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;41883;211392;0;10568;0;16;0;221976;-10319;0;0;0;-47198;-57517;164460;33294;11958;-3889;-53335;-13861;0;765;-82293;-107361;57099;85;57183;-22418;-13;34753;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;41883;4530;0;101159;107566;5247;0;218502;-35887;-120971;0;0;-23;-156880;61622;58969;0;-74147;-21656;-7703;0;10824;-14101;-47814;13807;510;14317;-8268;0;6049;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;41883;207140;0;8824;0;0;0;215964;-29533;0;0;0;-84304;-113838;102126;104457;23556;-23417;-64109;-20520;0;14974;-63167;-28226;73900;0;73900;-26811;-3245;43843;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;41883;57330;0;70342;82354;3936;0;213963;-204750;-5802;0;0;-756;-211308;2654;11409;1083;-18168;-15428;-4397;19322;3473;-6655;-9361;-6706;27;-6680;10880;0;4200;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;41883;82482;99915;13777;13592;0;0;209766;0;-38034;-90380;0;-14521;-142935;66832;26806;42;-17977;-23074;-6106;0;6552;-7664;-21421;45411;260;45670;-18250;0;27421;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;41883;172237;115;28704;0;0;0;201055;-71249;0;-59;0;-31247;-102556;98499;237419;14007;-4655;-185159;-33554;0;26160;-10744;43474;141973;70;142044;-51164;0;90879;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;41883;159331;12934;25558;-1528;0;0;196295;-57298;-13331;-10574;0;6763;-74440;121856;2547;6;-11019;-12040;-5074;1;4773;-10515;-31322;90534;75;90610;-18387;-834;71389;-57417
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;41883;18319;0;60802;86195;27996;0;193312;-48079;-173915;0;0;-3454;-225448;-32135;8073;36;-17205;-10454;-2014;-100;76535;-15434;39436;7300;14;7315;-5551;-425;1339;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41883;6973;0;183759;0;0;0;190731;-183856;0;0;0;-50;-183906;6825;0;0;-8610;48178;0;6;523;-46925;-6828;-3;3;0;0;0;0;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;41883;175754;0;1133;1048;0;0;177935;-16760;-95423;0;0;-16017;-128200;49735;10949;12;-6729;-4169;-3564;0;1;0;-3500;46235;328;46563;-18147;-722;27693;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;C;2;BELO HORIZONTE;MG;41883;135100;0;21059;17248;1515;0;174921;-57564;-25;0;0;-22393;-79982;94940;2001;1773;-11799;-48000;-4533;1926;17107;-47116;-88642;6298;-409;5889;-1588;0;4301;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;41883;4;174621;0;0;0;0;174625;0;-20515;-136357;0;-8427;-165299;9326;0;0;-9;-4407;-1341;0;1016;-740;-5481;3845;795;4640;-1912;0;2727;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;41883;588;0;73401;85155;0;0;159144;-59682;0;0;-76132;136;-135678;23466;44404;0;-16897;-17764;-1153;-922;10527;-3794;14401;37867;-6007;31860;-12523;0;19336;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;41883;118844;0;16494;14073;7737;0;157149;-20671;-66435;0;0;-29401;-116507;40642;8144;2172;-21993;-11483;-4294;0;6193;-9000;-30262;10380;72;10452;-2136;-1490;6827;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;41883;49754;0;7905;1134;96551;13;155356;-15440;-110914;0;0;-1311;-127665;27692;1;0;-845;-1763;-673;0;91;-2339;-5528;22163;21;22185;-8880;0;13304;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;41883;123103;412;30320;-1128;0;0;152706;-97308;-6444;-343;0;-3103;-107197;45509;308;87;-5792;-6471;-2376;0;2960;-4581;-15866;29643;-1072;28571;-11109;-356;17106;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;41883;13194;0;90243;33908;12633;0;149979;-56458;-9070;0;0;69;-65459;84520;93283;815;-97408;-28226;-9475;0;5789;-28895;-64118;20402;-32;20370;-14133;0;6237;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;41883;51568;0;76478;0;0;20086;148132;-85597;0;0;0;808;-84789;63343;0;852;-20879;-9095;-3640;0;1032;-5476;-37205;26138;903;27040;0;0;27040;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;41883;143543;2179;78;-1619;0;0;144182;-19547;-24418;-2181;0;-35738;-81883;62298;309;1185;-7597;-7134;-2515;0;7347;-3953;-12358;49940;2841;52782;-11162;0;41619;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;41883;51627;0;36980;15945;34766;0;139318;-61412;-26607;0;0;-15514;-103533;35785;4553;11;-8428;-9069;-1842;8239;6686;-29776;-29626;6160;-499;5661;-1665;0;3995;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;41883;62589;0;55897;-21947;41812;0;138352;-106075;-26308;0;0;5115;-127268;11084;13719;2440;-23569;-22625;-3193;1411;18859;-3774;-16733;-5650;9217;3568;1393;-3300;1661;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;41883;87887;10693;21139;2078;15230;0;137027;-64675;-25766;-10443;0;-4539;-105424;31603;108;3571;-13275;-10370;-2248;9581;6622;-8377;-14388;17215;-702;16513;-3191;-2071;11250;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;41883;94457;0;35331;0;0;4650;134439;-56376;-1222;0;0;-21008;-78607;55831;25153;3714;-39636;-84400;-7289;-1049;56431;-15763;-62838;-7006;-611;-7617;-5358;-1870;-14845;-2330
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41883;92887;0;35360;0;0;0;128247;-35818;-13631;0;0;-9668;-59118;69129;1400;802;-16400;5690;-232;0;8107;-775;-1408;67721;-67;67655;-275;-1398;65982;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;41883;91689;0;13297;2139;0;0;107125;-29715;-3899;0;0;-26119;-59733;47392;31707;23273;-33413;-44620;-7757;1206;9919;-5371;-25055;22336;144;22481;-2858;-5725;13898;-3900
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;41883;53762;618;21776;7518;22995;0;106669;-45672;-35600;-618;0;-4078;-85967;20702;1984;896;-11614;-5743;-2797;0;9609;-1380;-9046;11655;-1028;10627;-1197;0;9430;-7900
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;41883;18059;0;9512;-4530;78732;0;101774;-14431;-1705;0;0;-1909;-18045;83728;36856;522;-36760;-52789;-8169;4344;17874;-6172;-44296;39432;-1812;37621;-8659;-1035;27926;-9460
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41883;83658;0;17118;0;0;0;100776;-33905;-1468;0;0;-8015;-43388;57388;4089;3515;-16261;-22951;-88;0;294;-510;-31912;25476;-15;25461;0;-1278;24183;0
DACASA FINANCEIRA - PRUDENCIAL;1000081005;n1;;C;2;VITORIA;ES;41883;80038;0;16982;807;0;0;97826;-31259;0;0;0;-50444;-81704;16123;8000;5996;-3183;-38585;-6688;0;23615;-4851;-15697;426;6;432;3974;0;4406;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;41883;131115;0;40619;-87540;7120;0;91314;-29804;-22228;0;0;-346;-52377;38937;9167;12;-25527;-17244;-2584;-251;7043;-3950;-33334;5602;1348;6950;-1461;-4969;520;-1151
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;41883;65346;10028;15720;199;0;0;91293;-27180;-2740;-9481;0;-2626;-42027;49266;1920;5339;-7645;-11085;-3041;0;982;-1833;-15362;33904;-420;33484;-10916;-508;22061;-7437
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;41883;0;0;91183;0;0;0;91183;-87481;0;0;0;0;-87481;3701;0;0;-671;-800;-4;1703;0;-74;154;3855;0;3855;0;0;3855;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;41883;75833;14615;721;0;0;0;91168;-8521;-17183;-12934;0;-24272;-62910;28259;8574;3680;-8930;-16081;-3928;486;2084;-2848;-16964;11295;1013;12307;-4601;-649;7057;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;41883;73293;0;17747;0;0;0;91040;0;-33491;0;0;-77846;-111338;-20298;2021;305;-8788;-5392;-2364;0;3965;-183;-10437;-30735;-25;-30760;12240;0;-18520;0
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;41883;6931;0;20243;38525;23213;0;88912;-7713;-73758;0;0;-378;-81849;7063;19558;0;-10973;-5085;-640;9257;3231;-4891;10456;17519;0;17519;-3282;-522;13715;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;41883;2840;0;81503;0;0;0;84343;-81503;-3;0;0;-2;-81508;2835;0;0;-7906;31919;0;2;523;-27371;-2834;1;1;0;0;0;0;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;41883;73476;0;9249;1447;0;0;84172;-38847;-368;0;0;-7371;-46587;37586;919;1645;-11360;-26258;-426;397;3350;-1557;-33290;4296;-915;3380;-590;0;2790;0
BCO COMMERCIAL INV. TRUST S.A. - PRUDENCIAL;1000081476;b2;;I;3;BARUERI;SP;41883;572;79149;3565;534;0;0;83820;-8952;-2040;-56859;0;-825;-68675;15145;11;0;-2825;-4215;-1048;0;3887;-7630;-11821;3324;263;3587;-302;-80;3204;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41883;565;0;72216;15;0;2491;75287;-67162;-4205;0;0;-156;-71523;3763;30;0;-5072;-2175;-3;2056;8041;-806;2072;5835;32;5867;-12;0;5856;0
