cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
I%;I - Instituição independente;set/14;37,78%;56,78%;23,13%;23,45%;25,49%;30,07%;19,27%;59,24%;25,96%;38,64%;26,10%;24,48%;26,24%;22,45%;27,50%;42,92%;26,12%;16,02%;18,33%;18,93%;19,49%;22,58%;68,52%;0,00%;19,24%;91,99%;82,43%;83,49%;83,41%;82,32%;76,65%;59,92%;76,62%;16,41%;10,33%;9,62%;12,35%;0,29%;0,00%;97,50%;10,78%;40,87%;25,65%;24,36%;21,54%;19,69%;19,27%;3,00%;22,54%;31,61%;30,81%;36,49%;29,59%;39,36%;58,54%;80,37%;34,31%;0,00%;41,14%;18,93%;23,51%;28,44%;24,30%;24,75%;17,49%;24,79%;57,12%;19,47%;27,80%;32,29%;26,11%;14,84%;0,15%;24,25%;27,77%;9,33%;45,28%;2,17%;13,49%;3,97%;81,91%;19,97%;14,66%;14,36%;26,84%;1,93%;0,75%;0,10%;0,09%;16,85%;5,33%;9,67%;11,51%;10,57%;29,94%;2,47%;0,00%;11,75%;14,46%;18,31%;14,63%;9,28%;8,77%;6,71%;45,51%;13,02%;48,90%;52,90%;48,21%;57,28%;70,92%;83,50%;74,90%;66,64%;34,95%;9,24%;15,57%;11,40%;9,72%;23,40%;6,05%;13,69%;35,17%;61,20%;22,37%;11,32%;6,46%;6,44%;9,90%;17,56%;46,66%;28,14%;24,47%;48,25%;17,44%;0,49%;21,71%
1%;1 - Público;dez/14;51,03%;62,63%;43,26%;45,15%;49,77%;58,11%;63,76%;99,09%;50,60%;31,21%;24,95%;31,62%;43,74%;56,86%;66,09%;94,74%;36,50%;10,47%;9,34%;9,88%;11,36%;14,95%;9,48%;74,86%;10,74%;92,30%;83,92%;87,01%;86,68%;86,30%;83,31%;75,11%;83,25%;18,17%;22,54%;13,54%;9,56%;0,28%;0,00%;97,85%;20,19%;80,24%;70,04%;60,22%;66,83%;73,65%;85,15%;99,97%;68,65%;28,83%;28,90%;37,10%;26,30%;37,35%;64,26%;28,43%;32,65%;5,96%;49,61%;28,48%;41,38%;49,18%;62,30%;54,05%;26,92%;43,80%;60,99%;18,23%;24,38%;37,41%;82,32%;93,37%;84,54%;52,90%;32,05%;16,10%;41,10%;49,82%;11,06%;0,00%;1,32%;23,69%;51,26%;20,00%;15,98%;6,82%;13,90%;75,81%;97,91%;20,05%;18,97%;20,77%;24,76%;13,46%;41,71%;54,33%;0,00%;24,36%;25,69%;33,47%;26,87%;28,64%;40,54%;82,37%;69,41%;35,99%;63,29%;65,00%;62,66%;68,55%;80,27%;93,18%;95,39%;78,03%;76,30%;48,81%;40,58%;76,33%;76,10%;74,39%;99,34%;55,75%;36,93%;68,90%;33,30%;25,98%;17,69%;6,83%;8,13%;28,59%;52,40%;50,65%;39,92%;65,35%;22,29%;14,33%;24,26%
2%;2 - Privado Nacional;dez/14;34,63%;24,39%;47,99%;46,20%;42,87%;37,02%;32,56%;0,69%;42,19%;44,89%;61,26%;53,20%;38,93%;27,03%;30,18%;4,03%;47,62%;63,30%;56,02%;55,16%;54,95%;51,77%;72,42%;0,10%;55,17%;5,66%;8,90%;6,05%;6,75%;7,81%;10,48%;18,41%;10,40%;63,50%;57,67%;70,73%;43,20%;1,25%;0,09%;2,10%;60,64%;12,38%;24,67%;29,12%;19,11%;14,49%;10,14%;0,03%;21,15%;41,95%;52,39%;40,29%;47,64%;34,87%;21,81%;70,87%;45,04%;58,53%;37,29%;49,64%;43,15%;36,76%;25,34%;30,09%;28,41%;40,26%;26,07%;43,50%;45,43%;39,97%;11,97%;2,03%;0,15%;27,91%;51,85%;65,22%;39,93%;4,61%;6,03%;1,91%;82,39%;56,81%;38,09%;45,19%;24,72%;59,32%;82,72%;23,14%;0,39%;40,88%;44,32%;34,65%;33,27%;50,73%;39,30%;30,08%;0,00%;37,71%;54,39%;45,60%;46,74%;42,08%;35,83%;11,29%;12,93%;41,14%;16,76%;22,07%;24,14%;20,85%;13,32%;5,79%;4,53%;14,88%;12,92%;39,86%;46,36%;17,48%;20,06%;22,37%;0,66%;34,66%;30,43%;14,67%;40,40%;54,84%;78,39%;61,65%;90,44%;51,23%;33,28%;33,39%;38,39%;22,37%;62,94%;75,21%;61,59%
3%;3 - Privado com Controle Estrangeiro;dez/14;14,34%;12,98%;8,75%;8,65%;7,35%;4,87%;3,68%;0,21%;7,20%;23,90%;13,79%;15,18%;17,33%;16,11%;3,72%;1,23%;15,88%;26,23%;34,64%;34,96%;33,69%;33,28%;18,10%;25,04%;34,09%;2,04%;7,18%;6,94%;6,57%;5,88%;6,21%;6,49%;6,35%;18,33%;19,79%;15,73%;47,24%;98,47%;99,91%;0,05%;19,17%;7,39%;5,29%;10,66%;14,07%;11,85%;4,70%;0,00%;10,20%;29,23%;18,71%;22,61%;26,06%;27,78%;13,93%;0,70%;22,31%;35,50%;13,10%;21,88%;15,47%;14,06%;12,36%;15,85%;44,67%;15,94%;12,94%;38,27%;30,19%;22,62%;5,71%;4,59%;15,32%;19,19%;16,09%;18,68%;18,97%;45,56%;82,92%;98,09%;16,29%;19,50%;10,65%;34,81%;59,30%;33,86%;3,38%;1,05%;1,70%;39,07%;36,70%;44,59%;41,96%;35,82%;18,99%;15,58%;100,00%;37,93%;19,92%;20,94%;26,39%;29,28%;23,63%;6,34%;17,67%;22,87%;19,95%;12,94%;13,20%;10,59%;6,41%;1,02%;0,09%;7,09%;10,78%;11,33%;13,07%;6,19%;3,83%;3,24%;0,00%;9,58%;32,64%;16,43%;26,30%;19,18%;3,92%;31,52%;1,42%;20,18%;14,32%;15,96%;21,70%;12,28%;14,77%;10,46%;14,14%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/14;92,68%;99,26%;97,45%;97,80%;98,04%;98,38%;98,01%;99,61%;98,02%;79,14%;79,07%;82,61%;85,38%;82,39%;76,19%;95,98%;82,40%;91,43%;82,54%;81,99%;82,79%;82,64%;85,19%;100,00%;82,64%;99,69%;99,42%;99,67%;99,71%;99,66%;99,78%;99,88%;99,75%;90,40%;93,40%;91,05%;77,66%;99,99%;100,00%;97,90%;92,50%;89,84%;83,54%;81,39%;84,77%;88,10%;90,15%;98,18%;84,80%;95,44%;90,67%;89,28%;94,02%;95,20%;94,31%;34,26%;91,23%;100,00%;97,22%;93,58%;94,53%;95,98%;96,69%;93,84%;99,84%;95,11%;90,54%;75,64%;75,72%;79,98%;92,85%;97,49%;99,46%;85,01%;97,94%;97,43%;90,80%;98,82%;93,97%;98,09%;17,61%;94,71%;92,48%;89,47%;66,51%;83,95%;99,80%;99,60%;99,87%;84,74%;99,96%;99,79%;99,80%;99,73%;99,85%;99,84%;17,55%;99,79%;98,44%;95,98%;96,04%;95,68%;96,76%;99,08%;93,38%;96,48%;71,40%;59,91%;57,74%;48,92%;36,66%;29,85%;43,26%;43,11%;94,57%;96,85%;97,25%;90,81%;90,90%;76,55%;99,08%;93,61%;100,00%;99,25%;99,45%;99,94%;100,00%;100,00%;100,00%;99,78%;77,36%;89,22%;86,26%;60,12%;88,62%;99,92%;89,20%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/14;2,62%;0,01%;0,04%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,18%;0,13%;0,13%;0,07%;0,07%;0,00%;0,13%;6,11%;14,50%;14,99%;13,79%;13,58%;3,72%;0,00%;14,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,25%;2,10%;3,21%;5,26%;0,00%;0,00%;0,00%;2,55%;2,78%;1,39%;2,27%;6,28%;5,34%;1,64%;0,00%;3,47%;0,19%;0,20%;0,46%;0,76%;0,38%;0,18%;0,00%;0,39%;0,00%;0,46%;2,72%;1,10%;0,58%;0,43%;0,13%;0,00%;1,13%;5,31%;17,57%;16,63%;10,10%;2,30%;0,22%;0,00%;8,61%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;5,44%;31,63%;14,83%;0,00%;0,00%;0,00%;10,99%;0,00%;0,21%;0,20%;0,26%;0,15%;0,16%;82,45%;0,21%;0,26%;2,36%;0,59%;1,29%;0,25%;0,02%;0,00%;1,10%;15,11%;7,70%;8,40%;7,24%;4,26%;0,38%;0,09%;4,59%;1,02%;0,18%;0,23%;1,05%;0,82%;0,48%;0,00%;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,05%;6,30%;5,33%;1,77%;1,10%;0,08%;1,62%
b3S%;b3S - Cooperativa de Crédito Singulares;dez/14;3,19%;0,49%;2,25%;1,96%;1,77%;1,49%;1,91%;0,39%;1,79%;4,09%;11,22%;13,28%;14,08%;17,51%;23,73%;4,02%;13,06%;0,66%;1,67%;1,84%;2,25%;2,89%;3,71%;0,00%;2,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,43%;0,38%;0,32%;0,01%;0,01%;0,00%;2,10%;0,37%;6,14%;14,18%;15,54%;5,90%;2,52%;1,57%;0,01%;9,01%;2,98%;8,20%;9,23%;4,78%;3,86%;3,46%;63,75%;7,45%;0,00%;1,48%;2,74%;3,25%;2,88%;2,71%;4,22%;0,16%;2,93%;0,81%;2,38%;2,76%;3,43%;1,51%;0,75%;0,07%;2,18%;2,06%;2,57%;9,10%;1,18%;6,03%;1,91%;82,39%;5,26%;4,20%;4,21%;1,60%;0,28%;0,14%;0,00%;0,01%;3,54%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,25%;1,52%;3,12%;2,63%;2,70%;0,88%;6,54%;2,20%;0,16%;0,14%;0,03%;0,01%;0,00%;0,00%;0,00%;0,02%;0,60%;0,87%;1,07%;0,40%;0,06%;0,02%;0,00%;0,70%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,10%;3,11%;1,71%;0,32%;9,86%;0,00%;1,74%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/14;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,44%;0,44%;0,06%;0,02%;0,01%;0,00%;0,25%;0,00%;0,07%;0,09%;0,18%;0,00%;0,00%;0,00%;0,08%;0,00%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,01%;0,09%;0,05%;0,02%;0,00%;0,08%;0,04%;0,00%;0,01%;0,03%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,02%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%;0,06%;0,08%;0,05%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;dez/14;0,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,76%;0,67%;0,61%;2,28%;3,05%;5,09%;0,83%;2,06%;0,02%;0,02%;0,07%;0,23%;0,42%;1,12%;0,00%;0,15%;0,00%;0,19%;0,14%;0,35%;0,30%;0,07%;1,79%;0,00%;0,29%;0,74%;0,29%;0,58%;1,22%;0,98%;0,44%;0,00%;0,75%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,02%;0,02%;0,08%;0,23%;0,23%;0,01%;0,00%;0,10%;11,08%;31,79%;33,26%;43,32%;58,47%;69,35%;56,63%;51,81%;3,50%;2,07%;1,40%;7,43%;7,85%;21,06%;0,92%;4,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;15,90%;0,89%;5,62%;37,35%;0,01%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;dez/14;1,22%;0,24%;0,26%;0,21%;0,16%;0,12%;0,08%;0,00%;0,17%;16,73%;9,52%;3,98%;0,41%;0,04%;0,00%;0,00%;4,41%;1,79%;1,30%;1,18%;1,18%;0,89%;7,38%;0,00%;1,19%;0,31%;0,58%;0,33%;0,29%;0,34%;0,22%;0,12%;0,25%;4,92%;4,11%;5,42%;17,07%;0,00%;0,00%;0,00%;4,58%;0,49%;0,22%;0,20%;0,78%;0,99%;1,56%;0,98%;0,66%;1,33%;0,91%;0,95%;0,21%;0,13%;0,93%;1,07%;0,76%;0,00%;0,64%;0,39%;0,33%;0,21%;0,08%;0,01%;0,00%;0,28%;2,60%;4,05%;4,22%;5,09%;2,35%;1,11%;0,47%;3,37%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,33%;0,88%;0,25%;0,94%;0,05%;0,40%;0,12%;0,73%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,11%;0,08%;0,11%;0,05%;0,01%;0,00%;0,08%;2,26%;0,45%;0,55%;0,50%;0,61%;0,42%;0,02%;0,47%;0,31%;0,03%;0,05%;0,30%;0,36%;1,89%;0,00%;0,27%;0,00%;0,75%;0,55%;0,06%;0,00%;0,00%;0,00%;0,22%;0,49%;0,42%;1,00%;0,39%;0,41%;0,00%;7,41%
n2%;n2 - Não Bancário de Mercado de Capitais;dez/14;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,93%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C%;C - Conglomerado;dez/14;61,69%;43,60%;76,48%;76,11%;74,08%;69,60%;91,17%;99,61%;74,27%;55,22%;71,20%;72,19%;72,44%;75,30%;72,35%;95,85%;71,29%;82,94%;80,71%;80,00%;79,41%;76,63%;30,67%;100,00%;79,71%;7,92%;19,02%;15,84%;16,78%;17,88%;23,67%;40,57%;23,75%;81,46%;89,59%;87,64%;86,50%;99,72%;100,00%;97,90%;88,46%;61,22%;71,84%;75,62%;78,24%;80,97%;81,54%;98,16%;77,46%;71,59%;69,68%;60,03%;69,23%;59,87%;41,71%;22,44%;64,80%;99,99%;61,63%;81,04%;77,23%;73,02%;66,09%;89,74%;82,25%;75,33%;37,29%;73,51%;70,07%;71,56%;84,19%;96,05%;99,43%;78,69%;74,92%;90,56%;56,31%;93,20%;82,92%;98,09%;17,61%;80,12%;84,51%;88,93%;65,77%;84,07%;99,80%;99,60%;99,87%;84,07%;94,15%;89,81%;85,45%;83,73%;54,65%;45,11%;100,00%;81,50%;83,61%;83,10%;81,75%;91,61%;91,12%;93,45%;55,65%;86,53%;51,96%;46,91%;50,02%;41,20%;28,17%;16,37%;25,09%;32,65%;65,24%;89,02%;83,28%;87,17%;89,71%;73,13%;99,08%;84,93%;65,05%;34,02%;76,01%;88,67%;93,52%;93,53%;91,87%;81,42%;51,29%;71,59%;75,09%;50,61%;78,02%;99,54%;76,04%
I%;I - Instituição independente;dez/14;38,31%;56,40%;23,52%;23,89%;25,92%;30,40%;8,83%;0,39%;25,73%;44,78%;28,80%;27,81%;27,56%;24,70%;27,65%;4,15%;28,71%;17,06%;19,29%;20,00%;20,59%;23,37%;69,33%;0,00%;20,29%;92,08%;80,98%;84,16%;83,22%;82,12%;76,33%;59,43%;76,25%;18,54%;10,41%;12,36%;13,50%;0,28%;0,00%;2,10%;11,54%;38,78%;28,16%;24,38%;21,76%;19,03%;18,46%;1,84%;22,54%;28,41%;30,32%;39,97%;30,77%;40,13%;58,29%;77,56%;35,20%;0,01%;38,37%;18,96%;22,77%;26,98%;33,91%;10,26%;17,75%;24,67%;62,71%;26,49%;29,93%;28,44%;15,81%;3,95%;0,57%;21,31%;25,08%;9,44%;43,69%;6,80%;17,08%;1,91%;82,39%;19,88%;15,49%;11,07%;34,23%;15,93%;0,20%;0,40%;0,13%;15,93%;5,85%;10,19%;14,55%;16,27%;45,35%;54,89%;0,00%;18,50%;16,39%;16,90%;18,25%;8,39%;8,88%;6,55%;44,35%;13,47%;48,04%;53,09%;49,98%;58,80%;71,83%;83,63%;74,91%;67,35%;34,76%;10,98%;16,72%;12,83%;10,29%;26,87%;0,92%;15,07%;34,95%;65,98%;23,99%;11,33%;6,48%;6,47%;8,13%;18,58%;48,71%;28,41%;24,91%;49,39%;21,98%;0,46%;23,96%
1%;1 - Público;mar/15;51,46%;62,57%;43,51%;45,04%;49,49%;56,66%;59,39%;99,27%;50,05%;32,68%;23,42%;34,38%;43,88%;57,22%;71,25%;94,89%;37,31%;10,31%;9,79%;10,18%;11,68%;15,06%;8,56%;73,54%;11,03%;91,06%;85,78%;86,14%;86,54%;86,18%;83,17%;75,07%;83,10%;19,53%;22,57%;13,87%;13,61%;0,38%;0,00%;98,58%;20,47%;82,02%;57,77%;63,61%;64,92%;73,75%;84,85%;98,98%;68,35%;33,09%;27,51%;37,67%;25,48%;35,72%;63,30%;28,04%;32,16%;5,53%;45,87%;31,35%;38,94%;50,81%;57,34%;53,89%;26,55%;43,64%;68,71%;28,07%;20,76%;42,11%;81,62%;94,11%;85,97%;55,98%;35,71%;15,91%;39,12%;51,05%;9,53%;0,00%;1,07%;23,29%;51,09%;19,44%;13,50%;4,77%;7,01%;80,48%;97,64%;19,09%;18,31%;22,66%;21,26%;15,99%;39,05%;55,09%;0,00%;24,01%;28,73%;43,39%;40,46%;55,71%;76,52%;86,63%;57,57%;53,83%;75,07%;65,11%;63,20%;70,16%;81,50%;92,99%;95,54%;78,83%;78,98%;36,29%;29,73%;44,49%;42,23%;74,90%;100,00%;38,08%;38,15%;63,91%;33,87%;26,58%;17,22%;7,08%;8,15%;29,15%;53,23%;51,01%;41,37%;65,51%;23,52%;13,81%;24,02%
2%;2 - Privado Nacional;mar/15;34,14%;25,16%;47,31%;46,05%;42,95%;38,22%;36,63%;0,55%;42,53%;47,31%;63,48%;51,57%;39,15%;26,81%;25,96%;4,26%;47,75%;62,16%;55,21%;54,45%;54,04%;51,00%;75,36%;0,05%;54,36%;6,76%;6,45%;6,85%;6,80%;7,88%;10,55%;18,42%;10,47%;62,46%;57,27%;70,16%;41,35%;1,74%;0,06%;1,41%;60,12%;11,87%;30,36%;26,79%;19,95%;14,18%;9,89%;1,02%;20,91%;41,37%;52,51%;38,39%;46,93%;34,25%;22,05%;71,04%;44,57%;59,27%;37,57%;47,31%;43,15%;35,99%;27,79%;26,94%;28,45%;39,62%;21,10%;42,39%;50,29%;36,91%;12,36%;1,67%;0,12%;26,95%;49,81%;65,25%;39,00%;5,67%;9,94%;23,13%;83,66%;56,64%;36,18%;43,77%;26,36%;59,24%;38,70%;18,52%;1,71%;39,83%;37,62%;37,47%;33,92%;54,57%;46,16%;29,51%;11,80%;39,20%;51,16%;41,13%;39,31%;26,68%;14,88%;8,64%;10,63%;30,69%;11,36%;22,21%;23,79%;18,88%;12,44%;5,65%;4,38%;14,01%;11,28%;49,81%;52,10%;41,34%;49,07%;20,81%;0,00%;47,24%;20,64%;16,86%;36,20%;57,25%;78,52%;69,39%;90,54%;51,74%;32,45%;32,88%;37,44%;22,02%;61,17%;74,91%;61,85%
3%;3 - Privado com Controle Estrangeiro;mar/15;14,40%;12,27%;9,18%;8,91%;7,56%;5,12%;3,98%;0,18%;7,42%;20,01%;13,11%;14,04%;16,96%;15,97%;2,79%;0,85%;14,94%;27,53%;35,00%;35,37%;34,29%;33,94%;16,08%;26,41%;34,60%;2,18%;7,77%;7,01%;6,66%;5,93%;6,28%;6,51%;6,42%;18,01%;20,17%;15,98%;45,04%;97,88%;99,94%;0,01%;19,41%;6,11%;11,87%;9,60%;15,13%;12,07%;5,26%;0,00%;10,73%;25,54%;19,97%;23,94%;27,60%;30,03%;14,66%;0,92%;23,27%;35,20%;16,56%;21,34%;17,91%;13,19%;14,86%;19,18%;45,00%;16,75%;10,20%;29,54%;28,95%;20,98%;6,02%;4,22%;13,91%;17,06%;14,49%;18,84%;21,87%;43,28%;80,53%;76,87%;15,27%;20,07%;12,73%;36,79%;60,14%;35,99%;54,28%;1,00%;0,65%;41,08%;44,07%;39,87%;44,82%;29,43%;14,78%;15,40%;88,20%;36,79%;20,12%;15,48%;20,23%;17,60%;8,61%;4,73%;31,80%;15,47%;13,58%;12,67%;13,01%;10,96%;6,07%;1,36%;0,08%;7,16%;9,74%;13,89%;18,16%;14,17%;8,70%;4,29%;0,00%;14,67%;41,21%;19,23%;29,93%;16,17%;4,27%;23,53%;1,31%;19,10%;14,32%;16,10%;21,19%;12,46%;15,31%;11,28%;14,12%
