Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;7136654;250818;580065;1893024;3731788;680958;0;0;;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;6831437;112517;414284;648454;5376937;0;0;279246;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2021;6232866;441788;392574;2071840;2908433;418226;4;0;;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;6197273;2064477;223823;696681;835914;0;459;2375919;;;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2021;5990664;1095794;2113637;2556402;46873;177958;0;0;;;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2021;5743586;326442;852737;1937738;2450150;176519;1;0;;;;
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;5392421;171128;4044;560019;4485173;2740;1;169317;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2021;5221654;657977;1249085;2663223;562770;88599;0;0;;;;
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2021;4884963;267280;1176212;2917273;517105;7092;0;0;;;;
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;4214870;0;0;253102;3709353;252415;0;0;;;;
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;4073082;352570;148604;1151569;2108678;258462;1;53198;;;;
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2021;3912796;43504;218580;1368917;2102810;169995;0;8989;;;;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2021;3842748;1734476;34974;1424731;648565;0;2;0;;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2021;3816052;1080860;1830832;633228;220855;50183;95;0;;;;
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;3675095;3504;0;916904;2754687;0;0;0;;;;
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;3577157;0;0;522618;2888219;166320;0;0;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;3417844;16590;114852;884525;1534362;789435;1;78078;;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2021;3109222;52536;584574;212389;2259723;0;2;0;;;;
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2021;3014970;0;143042;322512;2549416;0;0;0;;;;
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2021;2836434;129183;85064;240086;55153;2326948;0;0;;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2021;2738413;263861;915925;1353257;205369;0;2;0;;;;
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;2577807;29766;20842;271338;2178258;77603;0;0;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/03/2021;2433599;0;0;485521;1862491;0;0;85587;;;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/03/2021;2309394;66955;374838;1245074;600583;21943;0;0;;;;
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2021;2275312;863646;151684;696608;563341;0;33;0;;;;
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/03/2021;2245871;117166;451;45756;2082497;0;0;0;;;;
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/03/2021;2223852;27761;177469;1372667;645955;0;0;0;;;;
SCOTIABANK;52230;b1;C;3;S4;199;SAO PAULO;SP;01/03/2021;2210417;0;0;129886;2080531;0;0;0;;;;
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;2101349;NI;NI;303883;1699765;NI;0;97702;;;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/03/2021;2062626;242701;564129;1027293;228503;0;0;0;;;;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2021;2012541;142687;543076;1010393;312488;3895;1;0;;;;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;1976072;451828;325643;741592;268470;188539;1;0;;;;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2021;1924886;246161;395681;692073;590962;7;1;0;;;;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/03/2021;1923219;19166;118960;1235132;509018;40942;0;0;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;01/03/2021;1912437;597419;1027996;276490;3966;6561;5;0;;;;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2021;1848888;99135;330923;403650;357569;657611;1;0;;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2021;1835542;269611;866530;665380;23770;10249;2;0;;;;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;1800337;254556;612918;659583;181490;91790;0;0;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2021;1783119;80691;261823;1064518;342600;33487;0;0;;;;
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;1758430;0;28154;274713;1455563;0;0;0;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2021;1685832;17453;301086;1199600;146052;21615;25;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2021;1658443;293598;692400;496584;175859;0;2;0;;;;
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/03/2021;1562005;268012;541527;681886;70579;0;1;0;;;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2021;1506639;64252;229091;866111;259278;87908;0;0;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/03/2021;1343715;59183;525073;647127;6368;105962;2;0;;;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/03/2021;1341367;153779;137354;729907;320301;24;2;0;;;;
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/03/2021;1331168;127812;355886;706690;46035;94742;3;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/03/2021;1328041;245327;556923;439254;86533;0;4;0;;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/03/2021;1286317;3131;57252;446027;779908;0;0;0;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/03/2021;1208468;68247;117749;768821;253452;199;0;0;;;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/03/2021;1194656;308061;213972;623226;10131;39266;0;0;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/03/2021;1187564;126475;365738;501475;135648;58227;1;0;;;;
BANCO HSBC S.A.;53518684;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;1181117;61663;228798;443589;407647;39419;0;0;;;;
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/03/2021;1174604;42816;205770;752314;173703;0;1;0;;;;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;1169883;0;0;85892;1083990;0;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/03/2021;1156781;148274;508754;451990;47762;0;1;0;;;;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/03/2021;1152976;112506;281790;667408;91272;0;0;0;;;;
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;01/03/2021;1135596;197444;279106;479082;105168;74796;0;0;;;;
COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;01/03/2021;1134324;119943;238213;60598;31863;683701;6;0;;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2021;1127690;141068;383230;298310;218203;86878;2;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2021;1086483;172911;445413;358597;109561;0;2;0;;;;
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;1073681;0;2711;147319;923650;0;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/03/2021;1052680;108301;334296;514871;95210;0;2;0;;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2021;1026230;73837;163712;618113;170567;0;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2021;987718;154570;432172;280769;120203;0;3;0;;;;
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/03/2021;937932;94581;269638;235942;112581;225186;3;0;;;;
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;896454;282799;213607;385693;14355;0;0;0;;;;
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;885532;26388;70473;403545;349414;35713;0;0;;;;
BANCO PACCAR S.A.;28517628;b2;I;3;S4;8;PONTA GROSSA;PR;01/03/2021;867946;11335;91526;738451;26634;0;0;0;;;;
BANCO RANDON S.A.;11476673;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2021;851767;10736;74526;582987;183518;0;0;0;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;839549;0;8960;72131;758458;0;0;0;;;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/03/2021;826209;30123;163492;564939;67655;0;0;0;;;;
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;825733;40000;275814;342561;157070;9804;484;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2021;815904;111154;366196;269731;68823;0;1;0;;;;
COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2021;779114;126013;321001;223515;47826;60756;2;0;;;;
BANCO TOPÁZIO S.A.;7679404;b1;I;3;S4;8;PORTO ALEGRE;RS;01/03/2021;767398;26665;27075;130979;582678;0;1;0;;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;765909;37024;219254;364528;145103;0;0;0;;;;
HAITONG;51482;b2;C;3;S3;198;SAO PAULO;SP;01/03/2021;729551;0;45758;115344;452321;0;0;116129;;;;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/03/2021;728142;38145;231702;344165;114129;0;0;0;;;;
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2021;700582;107227;225611;363189;4555;0;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;S4;9;JOINVILLE;SC;01/03/2021;699095;88841;321805;259540;28908;0;1;0;;;;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;01/03/2021;681562;38423;107739;516142;19257;0;0;0;;;;
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2021;670857;17322;300498;116171;234921;1945;0;0;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA LTDA   SICOOB COOPEMATA;2335109;b3S;I;2;S5;9;CATAGUASES;MG;01/03/2021;660537;36770;165879;398064;46733;13088;2;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;S4;9;ENCANTADO;RS;01/03/2021;653816;78074;219612;221427;134701;0;2;0;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;01/03/2021;652191;82505;249708;190130;90776;39070;2;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;S4;9;CAPANEMA;PR;01/03/2021;647553;140866;278601;191560;36525;0;1;0;;;;
GENIAL;51839;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2021;643628;643628;0;0;0;0;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/03/2021;636448;65156;340225;182746;48319;0;2;0;;;;
COOPERATIVA DE CRÉDITO SICOOB OURO VERDE;5582619;b3S;I;2;S5;9;LONDRINA;PR;01/03/2021;635478;47630;144984;37514;1863;403487;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/03/2021;631907;176189;228304;226084;1329;0;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO -  SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG;89468565;b3S;I;2;S4;9;SARANDI;RS;01/03/2021;623934;84402;235857;268977;34699;0;1;0;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/03/2021;613611;110784;178577;324025;224;0;1;0;;;;
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;I;2;S4;9;BELO HORIZONTE;MG;01/03/2021;603171;0;1474;601533;0;164;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL RIOGRANDENSE - SICREDI UNIÃO METROPOLITANA RS;92796564;b3S;I;2;S4;9;PORTO ALEGRE;RS;01/03/2021;595841;71424;281492;231181;11743;0;0;0;;;;
COOPERATIVA DE CRÉDITO DE EMPRESÁRIOS - SICOOB/TRANSCREDI;4247370;b3S;I;2;S5;9;CONCORDIA;SC;01/03/2021;592796;57433;209643;290643;30789;4289;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;01/03/2021;583512;104333;333071;142066;4042;0;0;0;;;;
BANCO GUANABARA S.A.;31880826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;01/03/2021;581890;27400;24634;360170;169685;0;0;0;;;;
COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE – SICREDI VALE LITORAL SC;10348181;b3S;I;2;S4;9;ITAPEMA;SC;01/03/2021;576884;109152;290364;173415;3952;0;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;01/03/2021;576171;89537;242821;228384;15428;0;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG;91159764;b3S;I;2;S4;9;LAJEADO;RS;01/03/2021;574225;77492;212998;235209;48525;0;0;0;;;;
COOPERATIVA DE CRÉDITO SICOOB ENGECRED LTDA.;4388688;b3S;I;2;S5;9;GOIANIA;GO;01/03/2021;573197;8746;104936;242457;155657;61400;0;0;;;;
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;564521;5478;24857;179179;355007;0;0;0;;;;
COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA – UNICRED VALOR CAPITAL;74064502;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2021;561619;10046;148086;353784;29319;20385;0;0;;;;
COOPERATIVA DE CRéDITO, POUPANçA E INVESTIMENTO UNIãO - SICREDI UNIAO RS/ES;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/03/2021;553816;111108;215850;173132;53726;0;1;0;;;;
COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES;87795639;b3S;I;2;S4;9;MARAU;RS;01/03/2021;542898;92993;247587;191534;10784;0;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87853206;b3S;I;2;S4;9;TEUTONIA;RS;01/03/2021;542232;113384;215259;145672;67918;0;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA – SICREDI SUL SC;3793242;b3S;I;2;S4;9;CRICIUMA;SC;01/03/2021;536177;57904;231791;230736;15745;0;1;0;;;;
MONEY PLUS;52137;n1;C;2;S5;197;SAO PAULO;SP;01/03/2021;535468;117122;418347;0;0;0;0;0;;;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/03/2021;531442;16718;87254;389654;37815;0;0;0;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA E DO CIRCUITO DO OURO LTDA. - SICOOB CREDIMEPI;1644264;b3S;I;2;S5;9;JOAO MONLEVADE;MG;01/03/2021;525472;50647;222227;228248;0;24349;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG – SICREDI REGIÃO CENTRO RS/MG;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/03/2021;523613;69098;151545;227222;75748;0;0;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/03/2021;521300;72309;216298;183165;49527;0;1;0;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;S5;9;RIO VERDE;GO;01/03/2021;514277;28434;124950;200199;151661;9033;0;0;;;;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP;79457883;b3S;I;2;S4;9;MANDAGUARI;PR;01/03/2021;511590;43257;208554;219955;39823;0;1;0;;;;
COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;S5;9;SANTA MARIA DE JETIBA;ES;01/03/2021;503695;53699;179095;110421;38955;121522;2;0;;;;
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;499504;0;0;32213;467292;0;0;0;;;;
BANCO PAULISTA S.A.;61820817;b1;I;2;S4;8;SAO PAULO;SP;01/03/2021;494276;40579;7458;184502;261736;0;0;0;;;;
COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO;23522214;b1;I;3;S4;8;SAO PAULO;SP;01/03/2021;485718;0;0;246431;239287;0;0;0;;;;
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP;84974278;b3S;I;2;S4;9;SAO JOAO;PR;01/03/2021;462802;77903;177708;160354;46836;0;1;0;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/03/2021;451680;47728;217680;181014;5254;0;4;0;;;;
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2021;449383;66299;205356;158971;7891;10865;1;0;;;;
COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;5888589;b3S;I;2;S5;9;CURITIBA;PR;01/03/2021;436952;31332;100929;45869;0;258821;1;0;;;;
CHG-MERIDIAN DO BRASIL ARRENDAMENTO MERCANTIL S.A.;18539102;n1;I;3;S4;19;BARUERI;SP;01/03/2021;436153;1753;1126;172814;260460;0;0;0;;;;
