Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41609;2879401;690091;3139665;-272189;118333;36730;6592031;-4228049;-305665;-675256;0;-709589;-5918559;673472;194778;111958;-675578;-463356;-617725;291984;1802200;-664533;-20272;653200;-16094;637106;123132;0;760238;-337469
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41609;642103;0;4359110;-411398;0;11001;4600816;-3153192;-679661;0;-33642;-63011;-3929506;671310;1183304;8919;-292664;-505263;-162520;232566;1330228;-36243;1758328;2429638;-465287;1964351;-199080;-347101;1418171;-246900
BMG;30290;b1;;C;2;SAO PAULO;SP;41609;2908672;18846;245108;50131;295407;0;3518165;-1850123;-1041;-17866;0;-324448;-2193478;1324687;17276;8848;-77627;-840288;-16180;13201;146540;-500622;-1248853;75834;411;76245;31042;-22681;84606;-78418
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41609;2365327;26234;858568;-5475;69954;185895;3500503;-1445135;-189266;-19103;0;-60042;-1713546;1786957;67537;378375;-717284;-523148;-130677;55850;178290;-544863;-1235919;551038;-9258;541780;-116167;-53693;371919;-123941
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41609;1865904;138793;740945;-34244;41860;0;2753259;-1407010;-7562;-120313;0;-484517;-2019403;733856;28090;142754;-113196;-720064;-612690;-7611;1051744;-706704;-937677;-203821;-24565;-228386;-9575;0;-237961;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41609;902622;48288;1007338;-150567;588562;33516;2429758;-769634;-417451;-39274;0;-90715;-1317073;1112685;365111;113437;-614534;-615355;-99538;30924;517067;-619430;-922318;190367;1715;192082;76650;-69910;198822;-99279
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41609;998717;0;885446;57559;66719;11229;2019669;-577413;-474140;0;0;-304560;-1356113;663556;772826;17642;-674614;-438722;-110153;0;653486;-519074;-298609;364946;4983;369930;-194226;-15375;160329;-50019
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41609;1443721;389084;63538;71030;0;0;1967372;-519750;-519079;-374093;0;-247718;-1660640;306732;0;60579;-1924;-185371;-26374;-22937;265480;-262110;-172658;134075;-26835;107239;-44494;0;62745;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41609;28258;0;1023307;516703;126556;0;1694824;-233208;-1262311;0;0;29838;-1465681;229142;237580;213;-353535;-118710;-68856;0;247083;-76798;-133022;96120;-2596;93525;-49135;0;44390;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41609;193776;0;1693953;-257346;0;0;1630383;-717684;-357589;0;-7434;-145144;-1227851;402532;592563;0;-585907;-225605;-65122;225298;55114;-69714;-73373;329159;-31;329127;-34119;-5051;289957;-73900
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41609;1160730;1973;148582;2273;5045;6862;1325465;-549457;-6657;-1846;0;-343403;-901363;424102;28598;34809;-191318;-262519;-17804;9603;69137;-182348;-511842;-87740;59713;-28026;28539;-12320;-11807;-7254
BIC;32119;b1;;C;2;SAO PAULO;SP;41609;817141;92096;127462;97880;110837;64;1245480;-552848;-174695;-58729;0;-135424;-921696;323784;33561;17197;-96445;-111610;-42594;-599;41295;-94163;-253358;70426;430;70856;-26146;0;44710;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41609;920232;0;188275;44523;79211;0;1232241;-491519;-99709;0;0;-257112;-848340;383901;12536;26871;-88541;-206072;-52200;6281;115860;-38978;-224243;159658;1010;160667;-32019;-21612;107036;-57572
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41609;628028;97718;285739;14573;151900;0;1177958;-365266;-47220;-77849;0;-194445;-684779;493179;130558;34629;-139880;-311672;-43701;3714;162387;-224519;-388485;104694;-898;103796;-1033;-9338;93425;-64000
BRB;31976;b1;;C;1;BRASILIA;DF;41609;904792;0;98927;0;3986;12085;1019790;-326195;-1469;0;0;-130945;-458609;561181;16842;67990;-333429;-178227;-41195;21061;54638;-80838;-473158;88023;-11689;76334;-11661;-8743;55930;-12000
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41609;723216;234625;23410;0;0;0;981251;-466695;0;-236113;0;-84216;-787024;194227;17174;63964;-789;-210127;-39193;-15073;55905;-87742;-215882;-21655;-492;-22147;19663;0;-2484;-62600
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41609;593442;0;260349;44536;57604;0;955931;-374805;-322977;0;0;-43262;-741043;214888;73343;6140;-73426;-44581;-20522;30880;240056;-221245;-9354;205533;-1274;204260;-17906;-42858;143496;-42915
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41609;298567;0;580161;301;6028;20860;905917;-672619;-69807;0;0;-4058;-746485;159432;15449;19;-43547;-82053;-9515;6956;9833;-15315;-118174;41258;45;41302;-16762;0;24540;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41609;547334;0;203186;12115;94397;0;857032;-108933;-517733;0;0;-41835;-668501;188532;32062;4272;-57494;-40393;-13360;6105;16279;-6969;-59499;129033;1;129034;-24591;-15915;88528;-52986
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;41609;778326;0;40361;0;0;0;818687;0;0;0;0;-130470;-130470;688217;3;0;-7230;-228501;-41937;0;139765;-3337;-141237;546980;1;546979;-210191;-144;336643;-27000
ALFA;51293;b1;;C;2;SAO PAULO;SP;41609;411334;117583;218615;29128;12351;0;789011;-436928;-61680;-98782;0;-31405;-628795;160216;12511;14993;-79955;-56573;-15302;7431;133736;-132721;-115879;44337;32840;77177;-7703;-4695;64780;-10248
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41609;45040;640250;98044;0;0;0;783334;-191130;-12637;-577544;0;-14304;-795616;-12282;0;0;0;-15543;-1521;0;21510;-5036;-591;-12873;0;-12873;21108;0;8236;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41609;365317;28019;357167;0;9100;16340;775943;-435946;-7488;-21343;0;-74941;-539718;236225;81839;36025;-127806;-99334;-25431;7817;13395;-31374;-144868;91357;-1838;89519;-19554;-10079;59886;-21598
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41609;345554;141701;185872;68032;0;0;741158;-46514;-235344;-113187;-6152;-70750;-471947;269211;9784;9906;-64658;-141862;-11829;-8194;78151;-82571;-211273;57938;1274;59211;-13397;0;45815;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41609;251547;0;465331;0;0;10481;727359;-580244;-19945;0;0;-480;-600669;126690;100500;42;-32985;-60512;-50096;954;4989;-65130;-102238;24453;950;25402;-5290;-1863;18249;0
PINE;50304;b1;;C;2;SAO PAULO;SP;41609;311975;0;137173;80187;70878;0;600213;-332386;-91754;0;0;-56077;-480217;119996;48382;1293;-46306;-43917;-7871;9027;52484;-21235;-8143;111853;4227;116080;-16750;-21950;77380;-31574
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;41609;536055;0;7209;0;0;0;543264;-10088;0;0;0;-196305;-206393;336871;117212;77780;-33015;-183408;-55998;0;20013;-68719;-126136;210735;117;210852;-81286;0;129566;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41609;414509;110341;2596;0;0;0;527446;-64068;-126985;-106892;0;-128174;-426118;101328;7;7464;-46300;-46145;-52082;0;92788;-53421;-97690;3638;25439;29077;-20203;0;8874;0
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;41609;522012;0;4207;0;2;0;526221;-8858;0;0;0;-213551;-222409;303811;2407;23846;-35756;-77291;-1221;0;25738;-67820;-130096;173716;-44;173672;-67669;0;106004;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41609;454925;0;69806;0;0;0;524731;0;-188426;0;0;-58890;-247316;277415;11761;0;-79543;-18738;-11075;0;6951;-7527;-98170;179244;322;179566;-71298;0;108268;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41609;159498;0;330841;0;3179;257;493775;-99512;-177506;0;0;-36860;-313879;179896;210607;40987;-216604;-132794;-33388;0;421302;-383806;-93695;86201;1306;87507;64380;-15586;136301;-48598
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41609;423412;0;57529;0;329;5182;486451;-133814;-1;0;0;-61974;-195789;290663;5588;22985;-90826;-83604;-19755;0;3659;-1849;-163802;126861;-932;125928;-37759;-8176;79993;-15841
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41609;98644;0;271635;60111;51546;0;481936;-198950;-74937;0;0;22838;-251049;230887;117282;223;-131263;-49358;-22696;31;49491;-56639;-92929;137958;-331;137627;-4829;0;132798;-74745
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41609;426460;0;52645;1852;17;0;480973;-136963;-33;0;0;-80152;-217149;263824;4277;3404;-25329;-117464;-12409;3717;38539;-123349;-228615;35210;-116;35094;-6186;0;28908;-15000
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;41609;257527;87858;26175;48486;0;0;420045;-65104;-125084;-78312;0;-20565;-289065;130980;0;22604;-16239;-64225;-11323;0;2773;-7553;-73964;57016;-3713;53303;-19147;-2543;31613;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41609;21698;0;227455;-30353;196828;0;415627;-69186;-123669;0;0;1579;-191277;224350;261650;1161;-199081;-71768;-23955;0;24320;-132106;-139780;84570;-4156;80414;-6610;0;73804;-62000
BES;51482;b2;;C;3;SAO PAULO;SP;41609;106637;0;212254;75487;5565;0;399943;-324192;-9026;0;0;829;-332388;67555;30454;2771;-27836;-31226;-5581;2164;4728;-4691;-29217;38337;0;38337;-9797;-1726;26815;-10750
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41609;0;0;297695;-20337;114233;0;391591;-161876;0;0;0;0;-161876;229715;87319;0;-125252;-30139;-27920;-5180;67073;-39291;-73391;156325;0;156325;-36212;0;120113;-55358
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;41609;356210;0;13876;0;11;0;370097;-13933;0;0;0;-21261;-35193;334903;53914;14364;-6962;-94395;-22729;0;1537;-171770;-226040;108863;132;108995;-42157;-123;66715;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41609;174958;161780;13664;766;0;0;351168;-6152;-56829;-138886;0;-47467;-249333;101836;58747;155;-34247;-32129;-13237;0;9372;-27458;-38797;63038;-697;62341;-23731;0;38610;-2000
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41609;313514;0;33901;-1389;0;0;346026;-136360;-1133;0;0;-39793;-177286;168740;6327;1496;-17102;-95033;-10149;15944;6585;-4457;-96390;72351;66;72417;-5660;-5808;60949;-33170
OMNI;50940;n1;;I;2;SAO PAULO;SP;41609;273350;0;57794;2413;0;0;333557;-133918;-5512;0;0;-73361;-212792;120765;4898;33523;-5652;-126544;-17143;18694;32042;-18167;-78349;42416;-2455;39961;-875;0;39087;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;41609;196;316972;0;-10;0;0;317157;0;-41964;-248923;0;-15684;-306572;10586;0;0;0;-9784;-2451;0;7972;-2562;-6826;3760;767;4527;-1372;0;3155;0
HONDA;51396;b2;;C;3;SAO PAULO;SP;41609;291328;3461;5680;0;0;0;300468;-107282;0;-3033;0;-82388;-192703;107765;9767;36768;-6746;-78365;-13091;0;9578;-11426;-53515;54250;-16;54234;-20754;0;33480;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41609;249766;30932;22425;-3789;0;0;299335;-48801;-13131;-24704;0;-45932;-132568;166767;3002;13;-14713;-22309;-11049;18;14309;-24100;-54830;111937;-3316;108621;4300;-1573;111348;-111255
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;41609;291742;0;5587;0;0;0;297329;-36199;0;0;0;-97598;-133797;163532;84765;47926;-11328;-94980;-21338;0;23366;-103663;-75253;88279;0;88279;-27735;-1948;58596;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41609;10334;0;271854;0;0;0;282188;-272127;0;0;0;-125;-272253;9936;0;0;-21904;88266;0;67;2735;-79312;-10147;-211;211;0;0;0;0;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41609;7697;0;292327;-83860;65914;0;282078;-223960;-66;0;0;4483;-219544;62534;83896;0;-32511;-27471;-2701;386;24907;-43888;2619;65153;-2;65152;17858;-4611;78399;-36031
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41609;261561;1929;20938;-4378;0;0;280050;-153507;-19280;-2772;0;-38383;-213942;66108;573;2231;-13660;-16283;-5589;0;7104;-9398;-35022;31086;-1567;29519;-6145;-893;22481;-11674
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;41609;136275;66226;58304;15988;0;0;276793;-66751;-23979;-63246;0;-11841;-165817;110976;2158;12571;-16127;-18927;-7339;0;0;-12978;-40642;70334;7331;77664;-26266;-1598;49800;-12315
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41609;165489;43787;47415;-2411;20096;0;274376;-111720;-24397;-44208;0;-13188;-193513;80863;284;5674;-30183;-28977;-10713;3924;19954;-14322;-54357;26505;-3825;22681;-2209;-848;19624;-6000
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41609;51173;0;162114;17721;41909;0;272916;-89778;-101481;0;0;-4736;-195996;76920;1761;428;-45938;-22277;-964;0;76373;-34196;-24815;52106;-52;52054;-26178;0;25875;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41609;153490;0;69960;-6816;26123;0;242757;-139762;-54827;0;0;-22679;-217268;25489;15722;3139;-52031;-39794;-5786;3491;127061;-83821;-32019;-6530;-850;-7380;3126;-3694;-7948;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41609;93865;0;111194;0;0;34105;239164;-141406;0;0;0;1485;-139921;99244;0;1533;-33996;-18399;-5748;0;875;-9622;-65356;33888;2360;36248;0;0;36248;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41609;178821;0;50064;0;0;8035;236920;-93344;-2633;0;0;-10937;-106914;130006;25966;7085;-67793;-42935;-10581;573;529;-626;-87782;42224;-16;42208;-11783;-4645;25780;-5920
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41609;190881;0;22306;13282;3690;0;230159;-22896;-62256;0;0;-35814;-120966;109192;23012;2292;-42804;-30526;-8988;0;111074;-24259;29802;138994;-4604;134391;-20034;-8378;105978;-75703
ING;51073;b1;;C;3;SAO PAULO;SP;41609;19937;0;88790;12884;101143;0;222754;-47767;-122839;0;0;549;-170057;52697;2300;0;-17146;-5457;-3253;0;23865;-3774;-3466;49230;-35;49195;-4130;-502;44562;-39965
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;41609;43031;0;16845;-698;160880;0;220059;-27546;-7045;0;0;-11330;-45921;174138;16138;865;-55063;-68092;-9735;1099;6858;-21766;-129695;44442;-61;44382;-14772;-4973;24637;-4250
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41609;164916;0;49809;0;0;0;214725;-49074;-28032;0;0;-20386;-97492;117233;2047;1250;-29069;-26187;-445;0;4237;-20725;-68892;48341;169;48510;-470;-2409;45631;-30113
DACASA FINANCEIRA;51891;n1;;C;2;VITORIA;ES;41609;148412;0;56326;0;0;0;204739;-76483;0;0;0;-85484;-161968;42771;15469;10964;-7475;-71642;-10143;0;50852;-16866;-28841;13930;66;13996;-1400;0;12596;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;41609;52796;0;69723;23310;52701;0;198531;-52350;-97138;0;0;604;-148884;49647;7350;2;-19659;-8784;-3034;195;1761;-1408;-23578;26069;16;26085;-9673;-924;15488;0
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;41609;125091;0;101971;-30771;399;0;196690;-40712;-455;0;0;-50188;-91355;105335;2165;87;-46932;-31918;-6452;4902;59091;-23885;-42941;62394;470;62863;-9088;-14000;39776;-30450
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;41609;166508;0;18017;1856;0;0;186381;-42823;-7354;0;0;-47734;-97911;88470;13867;41583;-44860;-68136;-10023;2249;9222;-6939;-63036;25434;-374;25060;89;-7211;17939;-16737
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;41609;123784;30496;24621;31;0;0;178931;-27190;-28628;-30618;0;-79466;-165902;13029;1443;2482;-13565;-11134;-4637;0;18444;-1695;-8662;4367;-4863;-496;12711;0;12215;-32000
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;41609;18905;0;82185;2122;71078;0;174289;-52675;-367650;0;0;-4853;-425178;-250888;16971;0;-35003;-17748;-2837;1011;316927;-21696;257625;6737;-2;6734;1784;-3350;5168;-23698
BBM;30207;b1;;C;2;SALVADOR;BA;41609;74268;0;53335;21873;24739;0;174215;-81104;-25407;0;0;-20760;-127271;46944;11045;20;-15896;-19703;-19773;5260;65368;-42564;-16242;30702;-19;30683;7314;-8506;29491;-13909
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;41609;124337;45769;836;0;0;0;170942;-12127;-26640;-40171;0;-74333;-153272;17670;126;5750;-15210;-17194;-5239;183;3479;-4273;-32378;-14708;941;-13767;6750;-873;-7889;-6170
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;;I;3;BARUERI;SP;41609;2600;160453;3226;-54;0;0;166225;-15076;-3284;-118735;0;-1907;-139002;27223;30;0;-8461;-4333;-1497;0;13799;-5746;-6208;21015;1576;22591;-3208;-1459;17925;0
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;41609;165163;0;1533;-678;0;0;166018;-13860;-64670;0;0;-26745;-105275;60742;16659;0;-13952;-9192;-5971;0;0;-98;-12554;48188;118;48306;-17709;-1978;28619;0
INTERMEDIUM;51884;b1;;C;2;BELO HORIZONTE;MG;41609;137370;0;12999;-44;0;0;150325;-54978;-350;0;0;-22294;-77622;72703;1910;2951;-9909;-60880;-443;1593;1928;-1992;-64841;7862;-723;7139;776;0;7915;-4708
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;41609;99000;220;24325;-2223;28897;0;150219;-62508;-30214;-198;0;-21345;-114265;35954;2639;1475;-21316;-10665;-5299;287;15574;-73;-17378;18576;-144;18433;-2128;0;16305;-12000
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;41609;121252;0;27512;0;0;0;148764;0;-59194;0;0;-42415;-101609;47155;4287;717;-19629;-8768;-4312;0;316;-3659;-31048;16107;0;16107;11091;-2616;24581;-7693
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41609;125507;0;21820;0;0;0;147326;-41092;-1955;0;0;-10971;-54018;93309;9908;1510;-25778;-36159;-137;0;134;-2085;-52607;40702;-48;40654;0;-2190;38464;-24020
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;41609;1524;0;132951;0;0;0;134475;-126784;0;0;0;1;-126784;7691;0;0;-1502;-1117;-8;1621;0;-134;-1139;6552;-9;6543;0;0;6543;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41609;5746;0;95940;29937;0;0;131623;-57283;-22001;0;-4458;-629;-84371;47253;191981;0;-137056;-51322;-15823;0;14359;-14239;-12099;35153;1020;36174;-1850;0;34324;0
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;41609;59331;0;8339;2460;60526;4;130659;-17182;-65958;0;0;-24341;-107481;23178;2;0;-1583;-2436;-3153;0;3;-5344;-12511;10667;0;10667;7358;0;18025;-29347
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;41609;84558;32522;9597;659;0;0;127336;-31994;-8477;-22205;0;-21095;-83771;43565;7401;1844;-4550;-12287;-3668;19482;9513;-14222;3514;47080;-163;46917;-885;-878;45154;-25800
COOPERATIVA CENTRAL DE CRÉDITO DOS ESTADOS DO PARANÁ E DE SÃO PAULO - CENTRAL SICREDI PR/SP;80230774;b3C;;I;2;CURITIBA;PR;41609;3939;0;116347;0;0;0;120286;-116347;-10;0;0;2;-116355;3931;2;0;-14196;52806;1;48;700;-43336;-3977;-46;46;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;41609;89970;0;24304;794;0;0;115068;-31170;-19151;0;0;-11216;-61538;53530;798;1155;-11143;-13443;-74;0;11938;-49309;-60077;-6547;-67;-6615;-86;0;-6701;-6866
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41609;95850;0;16133;0;0;0;111982;-45234;-392;0;0;-5862;-51488;60494;0;0;-14393;-12257;-74;0;112;-2937;-29548;30946;27;30973;0;0;30973;-7075
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41609;0;0;108060;0;0;0;108060;0;0;0;0;0;0;108060;2;0;-953;-776;0;0;3491;-1;1761;109821;0;109821;-248;0;109573;-28700
RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62287735;n2;;I;2;SAO PAULO;SP;41609;0;0;105734;143;0;0;105877;-89579;0;0;0;0;-89579;16298;5764;0;-2634;-9296;-1310;0;144;-143;-7476;8822;-5;8817;-2870;0;5947;-1758
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;41609;19555;0;26143;-5577;63888;0;104009;-35993;-7045;0;0;-6240;-49278;54731;42829;6852;-29311;-45451;-8697;217;10578;-20301;-43282;11449;74;11523;-1802;-504;9217;-6996
